n_kv_blocks,relayout,B_q,B_kv,d,cores,build_s,reps,kernel_ms,kernel_ms_min,kernel_ms_sd,us_per_pair,text_bytes,rel_l2,nonfinite_out,bad_elems,total_elems,bad_frac,xclbin_sha256,insts_sha256,insts_bytes
16,0,64,64,64,1,4.3,10,0.3876,0.38422,0.0366,24.2249,8752,1.95044,0,3991,4096,0.974365,03683e75c20b84d6962ac3f2a36c6dc59e78267d0c999650268fb5420b85744c,36dccc339334b64116ed28dd0f882d8ccf9c11337c91a0c325d43ef11a67af77,420
32,0,64,64,64,1,4.2,10,0.69283,0.68503,0.05655,21.6509,8512,1.75897,0,3812,4096,0.930664,f9d93242ca39cd724c74706ba8a72c6a216dd78e995b52adce9fe0ccca83e9d9,6b6ecfa266d7ac77ded340e4b6cf2fffdec3e575e7adc1dde1966023f1c142d1,420
64,0,64,64,64,1,4.2,10,1.3277,1.28521,0.02915,20.7454,8752,1.78288,0,3965,4096,0.968018,688f455dba336bfc13628c3fe4332b95adeee792475f990cb943e1d19c8e22df,bff9dbd415afa21694d68ef684d31cb32455a3b3d0d884850cc913e28cd01296,420
128,0,64,64,64,1,4.2,10,2.48504,2.48378,0.01936,19.4144,8512,2.03599,0,4057,4096,0.990479,0a171066e69c2f4ddf83655dee26db1efb1026d661859f93bcc450805552b782,7d2fec108c8e139998e83e22009376597bd3c58a96f8acdaa8aef56aa4a60754,420
256,0,64,64,64,1,4.2,10,4.9224,4.91296,0.00535,19.2281,8752,1.83877,0,3970,4096,0.969238,64cb043ca8c066da8c81d5f231808e761ddb688982fad692ffa3c73fd889437a,a0c636f5529a0eaaa115cb0a85846e03cb1a1388ca42234d1b688b9726d04212,420
16,1,64,64,64,1,4.2,10,0.44047,0.38546,0.06584,27.5291,9248,1.95044,0,3991,4096,0.974365,dbd758c6121121d4f64d5dee00f430040db41105704a97e972659a396b85674d,36dccc339334b64116ed28dd0f882d8ccf9c11337c91a0c325d43ef11a67af77,420
32,1,64,64,64,1,4.2,10,0.69065,0.68916,0.06341,21.5828,8944,1.75897,0,3812,4096,0.930664,55c1a56009594d6fcb623314996b0867a70b569272aa72bc93ca18ddaa09beeb,6b6ecfa266d7ac77ded340e4b6cf2fffdec3e575e7adc1dde1966023f1c142d1,420
64,1,64,64,64,1,4.2,10,1.31274,1.30105,0.02353,20.5115,9248,1.78288,0,3965,4096,0.968018,822665b8425a64efcf6847c9c93be3c149ad9d13563d0119743eeff65ed2de50,bff9dbd415afa21694d68ef684d31cb32455a3b3d0d884850cc913e28cd01296,420
128,1,64,64,64,1,4.2,10,2.52859,2.52698,0.05347,19.7546,8944,2.03599,0,4057,4096,0.990479,e15d805c451303839415eeb1341cb39b4c1cc96b6d9cd10b1bcbe24505e036a9,7d2fec108c8e139998e83e22009376597bd3c58a96f8acdaa8aef56aa4a60754,420
256,1,64,64,64,1,4.2,10,4.99162,4.98076,0.0041,19.4985,9248,1.83877,0,3970,4096,0.969238,ac792b0653590b733303070a57abb5fee95b33e1b23eb2aa72262bb17d3b80c7,a0c636f5529a0eaaa115cb0a85846e03cb1a1388ca42234d1b688b9726d04212,420
