label,stage,d,M,K,N,cols,cores,tile_m,tile_k,tile_n,b_col_maj,build_s,reps,kernel_ms,kernel_ms_min,kernel_ms_sd,dispatch_ms,macs,gflop,tflops,tmacs,b_q,b_kv,in_bytes,out_bytes,l1_bytes_est,l1_fits,rel_l2,xclbin_name,xclbin_bytes,xclbin_sha256,insts_name,insts_bytes,insts_sha256,kernel_obj_bytes,build_error
QK d64 64x64,qk,64,2048,2048,2048,1,4,64,64,64,1,4.1,25,28.6312,28.5685,0.0278,28.6386,8589934592,17.18,0.6,0.3,64,64,16777216,8388608,52488,1,0.011591757647693157,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc1_cc0_c1_npu2.xclbin,20360,ed379f93cc90603445609ce270fb4dee97fa813cf64a962599e194d1ebcc97cb,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc1_cc0_c1_npu2.bin,2880,9228aae96b1a578f6ba3c92cd0b122f854c527ae5b7505df54406aa07d65d2a4,2984,
QK d64 32x64,qk,64,2048,2048,2048,1,4,32,64,64,1,4.1,25,30.9801,30.8565,0.0459,30.9918,8589934592,17.18,0.5545,0.2773,32,64,16777216,8388608,36104,1,0.011591757647693157,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc1_cc0_c1_npu2.xclbin,20296,2d480ca2ad739a590296a12e970b9c112c13ac9182f05f371d1eba6ccc7edcd4,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc1_cc0_c1_npu2.bin,5456,8241d2eaa952ebcf922e81514766a80840b271e526eb4816a09d2225076649ec,2984,
QK d128 32x64,qk,128,2048,2048,2048,1,4,32,128,64,1,4.1,25,21.4058,21.2566,0.0468,21.4174,8589934592,17.18,0.8026,0.4013,32,64,16777216,8388608,60680,1,0.010602346621453762,GEMM_M2048_K2048_N2048_tm32_tk128_tn64_bc1_cc0_c1_npu2.xclbin,20424,f19eb7955f5900634e316e82f15b51d2a29cfd4319825378af856ffc1b30bac2,GEMM_M2048_K2048_N2048_tm32_tk128_tn64_bc1_cc0_c1_npu2.bin,5456,8a93ddebd4be87d65322d11e5530dcea9e25b2fe2534132f6b1465dbbe66856e,3016,
QK d64 64x32,qk,64,2048,2048,2048,1,4,64,64,32,1,4.0,25,53.3945,53.1944,0.0602,53.4087,8589934592,17.18,0.3218,0.1609,64,32,16777216,8388608,36104,1,0.011591757647693157,GEMM_M2048_K2048_N2048_tm64_tk64_tn32_bc1_cc0_c1_npu2.xclbin,20296,4ec0e8068e125196b2fdaa56aff1f26c5e987f5103c7a9412778fc591e883cf3,GEMM_M2048_K2048_N2048_tm64_tk64_tn32_bc1_cc0_c1_npu2.bin,2880,aa9e2b27ee271cbe04f03afbf03def02490136b79340d5e9332ba29f505ef2de,2968,
QK d128 64x32,qk,128,2048,2048,2048,1,4,64,128,32,1,4.0,25,43.2319,43.1323,0.0396,43.2399,8589934592,17.18,0.3974,0.1987,64,32,16777216,8388608,60680,1,0.010602346621453762,GEMM_M2048_K2048_N2048_tm64_tk128_tn32_bc1_cc0_c1_npu2.xclbin,20296,8d7d42e9b1b0340d7386613a1e89d57a18a90c60455d2ca4ce62fb18ef61a52b,GEMM_M2048_K2048_N2048_tm64_tk128_tn32_bc1_cc0_c1_npu2.bin,2880,3e08f8b78b27795ab797e51dd0f468d1bc0773bea1da052d09b804cf5a16d533,2984,
PV d64 64x64,pv,64,2048,2048,2048,1,4,64,64,64,0,4.0,25,31.4444,31.3546,0.0294,31.4547,8589934592,17.18,0.5464,0.2732,64,64,16777216,8388608,52488,1,0.011600551195442677,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc0_cc0_c1_npu2.xclbin,21128,ee1b7b106922669a79a77381930c2a4d6adf3a336dc5f8794738559e6fba573b,GEMM_M2048_K2048_N2048_tm64_tk64_tn64_bc0_cc0_c1_npu2.bin,2880,774496e0661c4a5afd62bef010fc64f5c6a9949999ebc03b6275aefb6073bd43,3176,
PV d64 32x64,pv,64,2048,2048,2048,1,4,32,64,64,0,4.1,25,39.8667,39.7406,0.0468,39.8908,8589934592,17.18,0.4309,0.2155,32,64,16777216,8388608,36104,1,0.011600551195442677,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc0_cc0_c1_npu2.xclbin,21064,9894b8208bda7c708b215a130e4911b3ad7669012f29e63681c8e53187e072e7,GEMM_M2048_K2048_N2048_tm32_tk64_tn64_bc0_cc0_c1_npu2.bin,5456,239491fc10662a99c8ebb0d1bbd19fb6b3cf9fde836445da530cc077a0122aa3,3160,
PV d128 32x64,pv,128,2048,2048,2048,1,4,32,64,128,0,4.0,25,20.439,20.4089,0.0182,20.4506,8589934592,17.18,0.8405,0.4203,32,64,16777216,8388608,60680,1,0.011600551195442677,GEMM_M2048_K2048_N2048_tm32_tk64_tn128_bc0_cc0_c1_npu2.xclbin,21192,568eb8de20333d940af471abcd7da0a367d97c5ca301c6e81d98e5bbac1c3cd0,GEMM_M2048_K2048_N2048_tm32_tk64_tn128_bc0_cc0_c1_npu2.bin,5456,c90bb90e214d06803f90a115d4ce414c153bb75cd3a3583ef84fdc1997480d85,3224,
PV d64 64x32,pv,64,2048,2048,2048,1,4,64,32,64,0,4.1,25,42.9326,42.809,0.0415,42.9417,8589934592,17.18,0.4002,0.2001,64,32,16777216,8388608,36104,1,0.013353368267416954,GEMM_M2048_K2048_N2048_tm64_tk32_tn64_bc0_cc0_c1_npu2.xclbin,20872,2442a05a758a6ae629dcad173dc1e81d1d9a08f0913b116d74a13211fd03358a,GEMM_M2048_K2048_N2048_tm64_tk32_tn64_bc0_cc0_c1_npu2.bin,2880,799d112e7ea676c1efde5b519d83a4a87968997bc94abdee6cfe4a52ed672c71,3144,
PV d128 64x32,pv,128,2048,2048,2048,1,4,64,32,128,0,4.1,25,22.1361,22.0767,0.0308,22.1417,8589934592,17.18,0.7761,0.3881,64,32,16777216,8388608,60680,1,0.013353368267416954,GEMM_M2048_K2048_N2048_tm64_tk32_tn128_bc0_cc0_c1_npu2.xclbin,20936,bbcc9c09e3a4183e120b008a33833d4b1bbf7edda1ccf1f8f4f7fc898d31082b,GEMM_M2048_K2048_N2048_tm64_tk32_tn128_bc0_cc0_c1_npu2.bin,2880,399ffc6afa5bc0d412e8f75e74b3d6e7d11c60090d7adc7fd11d276d1f6a5d34,3160,
