wall_ns,acquisitions,immediate,waited,wait_ns,hold_ns,wait_max_ns,hold_max_ns,waiters_now,waiters_max
1788210623227177802,32,32,0,0,537766743,0,170221111,0,0
1788210623816601549,64,64,0,0,868227814,0,170221111,0,0
1788210624417305273,96,96,0,0,1203026441,0,170221111,0,0
1788210625043432372,128,128,0,0,1534685569,0,170221111,0,0
1788210626223043253,160,160,0,0,1827537616,0,170221111,0,0
1788210626708010726,192,192,0,0,2050279629,0,170221111,0,0
1788210627218668878,224,224,0,0,2262531172,0,170221111,0,0
1788210627706500905,256,256,0,0,2487443557,0,170221111,0,0
1788210628218948995,288,288,0,0,2722535998,0,170221111,0,0
1788210629302124772,320,320,0,0,2935990238,0,170221111,0,0
1788210629812091098,352,352,0,0,3154557490,0,170221111,0,0
1788210630293884932,384,384,0,0,3377052263,0,170221111,0,0
1788210630794557404,416,416,0,0,3589499939,0,170221111,0,0
1788210631903271551,448,448,0,0,3817930549,0,170221111,0,0
1788210632398439164,480,480,0,0,4046117600,0,170221111,0,0
1788210632887112710,512,512,0,0,4269999723,0,170221111,0,0
1788210633396181698,544,544,0,0,4487733359,0,170221111,0,0
1788210633899767530,576,576,0,0,4720558050,0,170221111,0,0
1788210657201711261,608,608,0,0,5121407261,0,170221111,0,0
1788210657702945534,640,640,0,0,5333139266,0,170221111,0,0
1788210658182161345,672,672,0,0,5557162138,0,170221111,0,0
1788210658662813190,704,704,0,0,5775030830,0,170221111,0,0
1788210674123444374,736,736,0,0,6131880717,0,170221111,0,0
1788210674720411095,768,768,0,0,6384752178,0,170221111,0,0
1788210675207784764,800,800,0,0,6608027395,0,170221111,0,0
1788210675714174200,832,832,0,0,6820156757,0,170221111,0,0
1788210676207561033,864,864,0,0,7047627224,0,170221111,0,0
1788210678399589909,896,896,0,0,7259427380,0,170221111,0,0
1788210678890440031,928,928,0,0,7477182699,0,170221111,0,0
1788210679415010459,960,960,0,0,7700958387,0,170221111,0,0
1788210679908220596,992,992,0,0,7925141184,0,170221111,0,0
1788210680420156502,1024,1024,0,0,8138142931,0,170221111,0,0
1788210682087583599,1056,1056,0,0,8351257735,0,170221111,0,0
1788210682571014441,1088,1088,0,0,8573495710,0,170221111,0,0
1788210683046779068,1120,1120,0,0,8789399329,0,170221111,0,0
1788210683551772639,1152,1152,0,0,9006486000,0,170221111,0,0
1788210713084053425,1184,1184,0,0,9387480819,0,170221111,0,0
1788210713610800568,1216,1216,0,0,9630656469,0,170221111,0,0
1788210714126778336,1248,1248,0,0,9848502552,0,170221111,0,0
1788210714608903298,1280,1280,0,0,10073360641,0,170221111,0,0
1788210715092244875,1312,1312,0,0,10292734100,0,170221111,0,0
1788210716196297586,1344,1344,0,0,10517536185,0,170221111,0,0
1788210716712392353,1376,1376,0,0,10738291592,0,170221111,0,0
1788210717237763600,1408,1408,0,0,10986876701,0,170221111,0,0
1788210717766408994,1440,1440,0,0,11209675253,0,170221111,0,0
1788210718865953630,1472,1472,0,0,11432771449,0,170221111,0,0
1788210719375668373,1504,1504,0,0,11666968662,0,170221111,0,0
1788210719854434052,1536,1536,0,0,11884799661,0,170221111,0,0
1788210720362722360,1568,1568,0,0,12103245719,0,170221111,0,0
1788210720872250587,1600,1600,0,0,12337840138,0,170221111,0,0
1788210721983809560,1632,1632,0,0,12562878248,0,170221111,0,0
1788210722492686862,1664,1664,0,0,12774794467,0,170221111,0,0
1788210722990805639,1696,1696,0,0,13010205269,0,170221111,0,0
1788210723501834638,1728,1728,0,0,13239594608,0,170221111,0,0
1788210724029907850,1760,1760,0,0,13468633638,0,170221111,0,0
1788210725124994710,1792,1792,0,0,13683411634,0,170221111,0,0
1788210725627743030,1824,1824,0,0,13917419724,0,170221111,0,0
1788210726128392206,1856,1856,0,0,14129791335,0,170221111,0,0
1788210726629800370,1888,1888,0,0,14364344434,0,170221111,0,0
1788210727728356640,1920,1920,0,0,14586700319,0,170221111,0,0
1788210728209885454,1952,1952,0,0,14804690577,0,170221111,0,0
1788210728723046962,1984,1984,0,0,15023566987,0,170221111,0,0
1788210729211734866,2016,2016,0,0,15247625488,0,170221111,0,0
1788210729747729052,2048,2048,0,0,15482512023,0,170221111,0,0
1788210730838031065,2080,2080,0,0,15700088813,0,170221111,0,0
1788210731326719180,2112,2112,0,0,15924093456,0,170221111,0,0
1788210731810722904,2144,2144,0,0,16142327229,0,170221111,0,0
1788210732322944290,2176,2176,0,0,16361195608,0,170221111,0,0
1788210733407730653,2208,2208,0,0,16577305661,0,170221111,0,0
1788210733894606446,2240,2240,0,0,16800785309,0,170221111,0,0
1788210734399456154,2272,2272,0,0,17017313350,0,170221111,0,0
1788210734883539525,2304,2304,0,0,17244520543,0,170221111,0,0
1788210735367368898,2336,2336,0,0,17463327347,0,170221111,0,0
1788210736480713089,2368,2368,0,0,17683642528,0,170221111,0,0
1788210736989068628,2400,2400,0,0,17902680086,0,170221111,0,0
1788210737474253978,2432,2432,0,0,18127132001,0,170221111,0,0
1788210737994061230,2464,2464,0,0,18350998246,0,170221111,0,0
1788210738487815765,2496,2496,0,0,18578405450,0,170221111,0,0
1788210739578460990,2528,2528,0,0,18793909032,0,170221111,0,0
1788210740066097494,2560,2560,0,0,19018947853,0,170221111,0,0
1788210740607640655,2592,2592,0,0,19251672584,0,170221111,0,0
1788210741111791814,2624,2624,0,0,19479484683,0,170221111,0,0
1788210742202284220,2656,2656,0,0,19691655181,0,170221111,0,0
1788210742708577468,2688,2688,0,0,19903505575,0,170221111,0,0
1788210743194468090,2720,2720,0,0,20128039998,0,170221111,0,0
1788210743680421706,2752,2752,0,0,20349293744,0,170221111,0,0
1788210744215483935,2784,2784,0,0,20579580422,0,170221111,0,0
1788210745291337852,2816,2816,0,0,20793200864,0,170221111,0,0
1788210745777935971,2848,2848,0,0,21017779789,0,170221111,0,0
1788210746284654111,2880,2880,0,0,21230991543,0,170221111,0,0
