age_from_newest,idx,eval_n,reused_n,ttft_ms,warm
0,160,121,1613,200.12,1
1,159,121,1616,226.3,1
2,158,120,1621,229.43,1
3,157,120,1621,231.75,1
4,156,121,1612,225.23,1
5,155,121,1613,224.87,1
6,154,121,1620,226.89,1
7,153,121,1621,226.06,1
8,152,119,1611,232.35,1
9,151,119,1613,231.86,1
10,150,120,1612,241.69,1
11,149,119,1619,232.04,1
12,148,120,1613,229.74,1
13,147,119,1610,246.76,1
14,146,121,1619,235.45,1
15,145,121,1614,233.75,1
16,144,120,1615,229.49,1
17,143,119,1616,233.52,1
18,142,120,1620,230.05,1
19,141,120,1618,230.01,1
20,140,119,1611,233.5,1
21,139,120,1617,230.81,1
22,138,120,1617,229.7,1
23,137,120,1610,230.74,1
24,136,121,1616,232.15,1
25,135,120,1613,230.86,1
26,134,118,1613,231.37,1
27,133,120,1611,231.16,1
28,132,121,1617,236.43,1
29,131,121,1612,234.91,1
30,130,120,1613,229.66,1
31,129,120,1613,229.52,1
32,128,121,1611,231.2,1
33,127,120,1609,229.62,1
34,126,121,1608,232.42,1
35,125,120,1614,230.07,1
36,124,121,1616,233.96,1
37,123,121,1612,232.67,1
38,122,119,1620,233.3,1
39,121,119,1615,233.23,1
40,120,119,1614,231.62,1
41,119,117,1614,228.85,1
42,118,116,1610,226.53,1
43,117,121,1613,233.72,1
44,116,120,1614,229.83,1
45,115,121,1618,234.25,1
46,114,120,1610,232.19,1
47,113,121,1616,235.37,1
48,112,120,1618,224.6,1
49,111,120,1618,230.02,1
50,110,121,1620,237.76,1
51,109,119,1620,234.17,1
52,108,121,1615,233.62,1
53,107,121,1617,235.79,1
54,106,120,1613,230.63,1
55,105,120,1613,229.99,1
56,104,121,1613,235.04,1
57,103,119,1611,232.76,1
58,102,121,1611,233.87,1
59,101,120,1614,230.06,1
60,100,121,1615,233.39,1
61,99,119,1615,230.85,1
62,98,121,1616,233.3,1
63,97,121,1614,232.46,1
64,96,120,1622,228.65,1
65,95,120,1615,230.67,1
66,94,120,1617,229.44,1
67,93,121,1612,234.27,1
68,92,120,1610,229.28,1
69,91,119,1613,233.1,1
70,90,120,1613,229.99,1
71,89,120,1613,229.33,1
72,88,121,1612,230.69,1
73,87,121,1614,234.77,1
74,86,121,1612,233.83,1
75,85,121,1613,235.14,1
76,84,121,1620,235.07,1
77,83,120,1617,230.46,1
78,82,120,1611,230.29,1
79,81,120,1615,231.36,1
80,80,118,1619,235.4,1
81,79,120,1614,233.74,1
82,78,120,1612,231.67,1
83,77,120,1614,233.74,1
84,76,120,1612,232.16,1
85,75,121,1613,238.95,1
86,74,119,1614,234.18,1
87,73,121,1619,237.09,1
88,72,120,1610,232.13,1
89,71,120,1612,231.48,1
90,70,121,1614,237.58,1
91,69,121,1615,238.08,1
92,68,119,1616,236.7,1
93,67,120,1618,234.02,1
94,66,121,1614,237.32,1
95,65,120,1610,234.54,1
96,64,121,1618,242.64,1
97,63,120,1609,238.2,1
98,62,121,1613,234.55,1
99,61,120,1612,229.28,1
100,60,121,1615,233.93,1
101,59,119,1614,233.8,1
102,58,119,1619,232.48,1
103,57,120,1612,230.38,1
104,56,120,1614,231.9,1
105,55,121,1613,234.89,1
106,54,120,1618,230.11,1
107,53,119,1613,232.94,1
108,52,119,1611,232.78,1
109,51,120,1614,231.23,1
110,50,121,1618,235.33,1
111,49,119,1620,233.71,1
112,48,121,1611,232.21,1
113,47,121,1613,234.74,1
114,46,121,1612,233.5,1
115,45,121,1615,235.91,1
116,44,121,1615,234.77,1
117,43,119,1615,234.27,1
118,42,121,1617,234.99,1
119,41,120,1621,229.5,1
120,40,120,1615,228.64,1
121,39,120,1613,230.34,1
122,38,1676,57,1388.98,0
123,37,1676,57,1227.46,0
124,36,1679,58,1270.58,0
