cell,domains,requests,usable,excluded,concurrency,n_predict,delta_lines,threads,wall_s,req_per_s,eval_mean,reused_mean,supplied_mean,ttft_p50,ttft_p95,total_p50,total_p95,contaminated,watts,gpu_busy_med,prefix_tokens,delta_tokens,rss_mib
d8-c1,8,48,48,0,1,4,8,4,13.76,3.489,120.0,1613.5,1733.5,220.78,261.1,282.23,324.34,0,103.6,0.0,1600,135,13754.6
d8-c2,8,48,48,0,2,4,8,4,11.99,4.004,120.2,1613.3,1733.6,416.05,447.96,488.17,574.74,0,108.5,0.0,1600,135,14757.5
d8-c4,8,48,48,0,4,4,8,4,10.61,4.525,120.3,1613.3,1733.6,793.61,821.55,942.98,976.72,0,105.8,0.0,1600,135,14757.8
d8-c8,8,48,48,0,8,4,8,4,8.81,5.45,120.2,1613.5,1733.7,1342.92,1359.64,1475.08,1488.24,0,108.2,0.0,1600,135,14757.3
d32-c1,32,64,64,0,1,4,8,4,18.89,3.389,120.1,1614.5,1734.6,230.55,242.7,292.79,309.59,0,101.8,0.0,1600,135,14759.0
d32-c2,32,64,64,0,2,4,8,4,16.52,3.874,120.0,1614.5,1734.5,432.15,500.23,504.12,600.49,0,106.7,0,1600,135,14631.6
d32-c4,32,64,64,0,4,4,8,4,14.54,4.403,120.2,1614.5,1734.8,822.31,858.84,967.64,1006.9,0,103.7,0.0,1600,135,14377.7
d32-c8,32,64,64,0,8,4,8,4,12.55,5.098,120.5,1614,1734.5,1426.96,1511.41,1558.71,1642.32,0,102.7,0.0,1600,135,13867.8
d64-c1,64,128,128,0,1,4,8,4,37.69,3.396,120.1,1614.6,1734.7,231.5,239.81,293.35,306.33,0,101.8,0.0,1600,135,14763.1
d64-c2,64,128,128,0,2,4,8,4,31.65,4.045,119.9,1614.6,1734.5,419.84,449.02,493.27,520.64,0,106.8,0.0,1600,135,14634.9
d64-c4,64,128,128,0,4,4,8,4,27.04,4.734,120.2,1614.6,1734.8,766.93,801.16,852.57,888.0,0,106.6,0.0,1600,135,14381.8
d64-c8,64,128,128,0,8,4,8,4,25.22,5.075,120.6,1614.1,1734.7,1447.02,1514.31,1582.36,1645.82,0,104.6,0,1600,135,13872.2
