cell,domains,requests,usable,excluded,concurrency,n_predict,delta_lines,threads,wall_s,req_per_s,eval_mean,reused_mean,supplied_mean,ttft_p50,ttft_p95,total_p50,total_p95,contaminated,watts,gpu_busy_med,prefix_tokens,delta_tokens,rss_mib
d8-c1,8,48,48,0,1,4,8,4,13.61,3.526,120.0,1613.5,1733.5,221.55,225.91,281.89,296.59,0,102.5,0.0,1600,135,13754.8
d8-c2,8,48,48,0,2,4,8,4,11.34,4.234,120.0,1613.5,1733.5,369.88,423.13,475.74,545.73,0,113.4,0,1600,135,14137.0
d8-c4,8,48,48,0,4,4,8,4,9.36,5.127,120.0,1613.5,1733.5,677.15,731.23,823.9,880.85,0,115.2,0,1600,135,14391.7
d8-c8,8,48,48,0,8,4,8,4,7.88,6.093,120.0,1613.5,1733.5,1202.64,1212.08,1333.74,1346.44,0,116.6,0.0,1600,135,14774.4
d32-c1,32,48,48,0,1,4,8,4,13.63,3.522,107.6,1627.1,1734.7,231.56,247.21,302.87,310.66,0,97.7,0.0,1600,135,14761.3
d32-c2,32,48,48,0,2,4,8,4,7.11,6.752,40.7,1694,1734.7,107.84,469.82,232.57,608.51,0,91.8,0,1600,135,14633.8
d32-c4,32,48,48,0,4,4,8,4,5.96,8.054,40.7,1694,1734.7,183.56,848.85,332.3,1005.01,0,95.3,0.0,1600,135,14378.5
d32-c8,32,48,48,0,8,4,8,4,4.98,9.637,40.7,1694,1734.7,320.61,1565.01,448.11,1694.16,0,95.0,0.0,1600,135,13869.4
d64-c1,64,64,64,0,1,4,8,4,18.8,3.405,120.1,1614.6,1734.7,231.61,237.46,292.59,300.84,0,102.0,0.0,1600,135,14763.6
d64-c2,64,64,64,0,2,4,8,4,5.23,12.244,1,1733.7,1734.7,92.27,96.3,163.7,168.65,0,73.3,0,1600,135,14636.3
d64-c4,64,64,64,0,4,4,8,4,3.88,16.479,1,1733.7,1734.7,162.44,168.23,245.3,250.9,0,67.2,0.0,1600,135,14381.9
d64-c8,64,64,64,0,8,4,8,4,3.45,18.535,1,1733.7,1734.7,315.0,322.59,440.68,450.98,0,67.4,0,1600,135,13872.8
