cell,domains,requests,usable,excluded,concurrency,n_predict,delta_lines,threads,wall_s,req_per_s,eval_mean,reused_mean,supplied_mean,ttft_p50,ttft_p95,total_p50,total_p95,contaminated,watts,gpu_busy_med,prefix_tokens,delta_tokens,warm_s,rss_mib,cache_ram,mem_avail_mib,swap_used_mib
d1-delta39,1,32,32,0,1,4,0,4,4.23,7.56,25.1,1614.9,1640,64.62,77.99,130.82,150.27,0,94.9,0,1600,39,1.5,6751.6,8192,37269,8191
d1-delta135,1,32,32,0,1,4,8,4,8.44,3.79,120.5,1614.9,1735.4,202.04,212.29,264.72,273.6,0,109.4,0,1600,135,0.5,6752.4,8192,37313,8191
d1-delta265,1,32,32,0,1,4,19,4,13.28,2.409,251.2,1614.9,1866.1,349.02,357.23,414.34,427.6,0,111.6,0,1600,265,0.5,6752.9,8192,37316,8191
d8-delta39,8,32,32,0,1,4,0,4,4.84,6.611,25,1613.5,1638.5,86.47,101.85,148.89,165.23,0,90.1,0.0,1600,39,9.5,11448.5,8192,32579,8191
d8-delta135,8,32,32,0,1,4,8,4,9.22,3.473,119.9,1613.5,1733.4,223.51,231.34,286.16,302.79,0,101.5,0,1600,135,2.5,14703.3,8192,28843,8191
d8-delta265,8,32,32,0,1,4,19,4,14.18,2.257,250.6,1613.5,1864.1,378.62,387.5,443.71,456.16,0,107.1,0,1600,265,4.0,14747.8,8192,28921,8191
d32-delta39,32,64,64,0,1,4,0,4,10.19,6.283,24.5,1615.0,1639.5,96.59,104.4,157.18,167.81,0,87.3,0,1600,39,31.6,14458.7,8192,29378,8191
d32-delta135,32,64,64,0,1,4,8,4,18.92,3.382,119.6,1615.0,1734.6,231.7,243.75,293.95,306.34,0,102.1,0.0,1600,135,9.5,14786.2,8192,29125,8191
d32-delta265,32,64,64,0,1,4,19,4,27.04,2.367,226.6,1638.8,1865.4,383.57,392.8,448.38,463.32,0,106.8,0.0,1600,265,14.0,14690.0,8192,29268,8191
d64-delta39,64,128,128,0,1,4,0,4,20.54,6.232,25,1614.6,1639.6,96.59,104.37,158.95,170.8,0,87.2,0.0,1600,39,45.1,14678.9,8192,29020,8191
d64-delta135,64,128,128,0,1,4,8,4,37.86,3.381,120.1,1614.6,1734.7,232.73,243.42,294.25,305.68,0,102.2,0.0,1600,135,19.0,14764.1,8192,29049,8191
d64-delta265,64,128,128,0,1,4,19,4,183.84,0.696,1808.0,57.5,1865.5,1368.09,1420.6,1434.06,1491.22,0,116.0,0,1600,265,73.2,14693.4,8192,28816,8191
d96-delta39,96,192,192,0,1,4,0,4,239.68,0.801,1582.0,57.4,1639.4,1182.63,1205.86,1246.52,1272.1,0,115.6,0,1600,39,81.2,14797.2,8192,28941,8191
d96-delta135,96,192,192,0,1,4,8,4,255.67,0.751,1677.1,57.4,1734.6,1264.69,1316.78,1327.01,1376.42,0,115.9,0,1600,135,128.3,14762.2,8192,28827,8191
d96-delta265,96,192,192,0,1,4,19,4,275.12,0.698,1807.9,57.4,1865.4,1363.14,1403.96,1430.61,1470.32,0,115.9,0,1600,265,137.8,14691.1,8192,28946,8191
