regime,turn,err,supplied_n,reused_n,eval_n,prompt_ms,ttft_ms,client_ttft_ms,ttft_derived_ms,ttft_source,total_ms,rebased,state_version
A rebuild (no reuse),1,,2094,0,2094,1781.41,1815.48,1815.48,1800.29,client_stream,1891.04,0,3ca1c5354eb5bc6a
A rebuild (no reuse),2,,2112,0,2112,1623.33,1625.76,1625.76,1640.43,client_stream,1694.22,0,bb9e6e46708f447f
A rebuild (no reuse),3,,2130,0,2130,1684.28,1686.79,1686.79,1701.02,client_stream,1753.78,0,d62468582b4660ad
A rebuild (no reuse),4,,2148,0,2148,1638.72,1641.39,1641.39,1654.95,client_stream,1706.38,0,b3f661ce875dff79
A rebuild (no reuse),5,,2166,0,2166,1678.51,1681.01,1681.01,1695.72,client_stream,1749.89,0,bd799904ac242ad0
A rebuild (no reuse),6,,2184,0,2184,1699.19,1701.87,1701.87,1715.36,client_stream,1766.54,0,fda6254b68c3f34d
A rebuild (no reuse),7,,2202,0,2202,1718.07,1720.62,1720.62,1734.61,client_stream,1786.87,0,0f03a5dde1ce7ed7
A rebuild (no reuse),8,,2220,0,2220,1744.86,1747.49,1747.49,1761.77,client_stream,1815.17,0,a4162b450cc32271
A rebuild (no reuse),9,,2238,0,2238,1737.66,1740.21,1740.21,1753.98,client_stream,1805.54,0,78542f722a2c9fe1
A rebuild (no reuse),10,,2256,0,2256,1824.07,1826.58,1826.58,1840.12,client_stream,1890.84,0,bb42ab0d040ea6c7
A rebuild (no reuse),11,,2274,0,2274,1807.95,1810.58,1810.58,1824.74,client_stream,1877.84,0,2389e7e0a5e71544
A rebuild (no reuse),12,,2292,0,2292,1840.0,1842.64,1842.64,1855.81,client_stream,1905.9,0,b41c1bf51da07ca2
A rebuild (no reuse),13,,2310,0,2310,1922.8,1925.53,1925.53,1939.14,client_stream,1990.95,0,2dd1e09eaa12ab16
A rebuild (no reuse),14,,2328,0,2328,1915.99,1918.69,1918.69,1935.68,client_stream,1997.53,0,6e6a8810eb1db8a1
A rebuild (no reuse),15,,2346,0,2346,1948.37,1951.06,1951.06,1968.3,client_stream,2030.88,0,8ed461298d3b7b86
A rebuild (no reuse),16,,2364,0,2364,1956.01,1958.83,1958.83,1973.48,client_stream,2028.79,0,b4eed09180a68082
A rebuild (no reuse),17,,2382,0,2382,1974.13,1976.88,1976.88,1991.45,client_stream,2046.2,0,90624bb04b821f95
A rebuild (no reuse),18,,2400,0,2400,1985.56,1988.28,1988.28,2002.0,client_stream,2054.1,0,6060d0ac50d9fac3
A rebuild (no reuse),19,,2418,0,2418,1993.39,1996.08,1996.08,2010.45,client_stream,2064.36,0,42dcdb86f0ec5527
A rebuild (no reuse),20,,2436,0,2436,2020.81,2023.45,2023.45,2037.91,client_stream,2091.89,0,7d8bc6925a3bc1c5
A rebuild (no reuse),21,,2454,0,2454,2062.8,2065.38,2065.38,2079.7,client_stream,2133.05,0,872ed1557e3a1f01
A rebuild (no reuse),22,,2472,0,2472,2247.78,2250.41,2250.41,2264.24,client_stream,2316.37,0,955664455b819cef
A rebuild (no reuse),23,,2490,0,2490,2173.07,2175.63,2175.63,2192.52,client_stream,2253.64,0,e6c504b3a1eddb93
A rebuild (no reuse),24,,2508,0,2508,2261.51,2264.17,2264.17,2282.12,client_stream,2346.68,0,1709f025e6da0654
A rebuild (no reuse),25,,2526,0,2526,2271.52,2274.21,2274.21,2290.08,client_stream,2348.51,0,6bd2eddc8e8f466d
A rebuild (no reuse),26,,2544,0,2544,2294.97,2297.68,2297.68,2315.68,client_stream,2380.76,0,8c94227a626cd7f1
A rebuild (no reuse),27,,2562,0,2562,2305.45,2308.16,2308.16,2324.58,client_stream,2384.7,0,0cb1ccb9e92b2797
A rebuild (no reuse),28,,2580,0,2580,2274.08,2276.76,2276.76,2291.7,client_stream,2347.31,0,902556e755b4e595
A rebuild (no reuse),29,,2598,0,2598,2312.42,2315.03,2315.03,2329.58,client_stream,2383.82,0,de5b74b722e6bdd5
A rebuild (no reuse),30,,2616,0,2616,2331.06,2333.76,2333.76,2351.12,client_stream,2414.02,0,1b45266ab9c188d3
A rebuild (no reuse),31,,2634,0,2634,2337.49,2340.44,2340.44,2357.32,client_stream,2419.92,0,b3d016e7cc7998c0
A rebuild (no reuse),32,,2652,0,2652,2338.26,2340.9,2340.9,2356.92,client_stream,2415.68,0,c9cab98251c013a9
A rebuild (no reuse),33,,2670,0,2670,2404.14,2406.86,2406.86,2424.7,client_stream,2489.16,0,008b4fdfa3b00b50
A rebuild (no reuse),34,,2688,0,2688,2445.14,2447.84,2447.84,2463.04,client_stream,2519.49,0,6ab9c8d0c7675eb2
A rebuild (no reuse),35,,2706,0,2706,2430.17,2432.84,2432.84,2447.48,client_stream,2502.16,0,6e0bb6a0ca9ea2e3
A rebuild (no reuse),36,,2724,0,2724,2453.76,2456.48,2456.48,2471.66,client_stream,2528.16,0,e0462d75b805b06b
A rebuild (no reuse),37,,2742,0,2742,2468.47,2471.13,2471.13,2486.62,client_stream,2543.8,0,cf10f34500b990da
A rebuild (no reuse),38,,2760,0,2760,2480.82,2483.59,2483.59,2500.32,client_stream,2561.75,0,df3b3945c2a239f2
A rebuild (no reuse),39,,2778,0,2778,2488.06,2490.72,2490.72,2506.47,client_stream,2564.39,0,c233e49623e7d782
A rebuild (no reuse),40,,2796,0,2796,2503.28,2506.41,2506.41,2520.44,client_stream,2575.16,0,e5221e0ba03eb0ec
A rebuild (no reuse),41,,2814,0,2814,2523.76,2526.5,2526.5,2544.72,client_stream,2610.41,0,41bee671093c4cdc
A rebuild (no reuse),42,,2832,0,2832,2548.94,2551.78,2551.78,2569.16,client_stream,2632.74,0,564a514eb7b9b11a
A rebuild (no reuse),43,,2850,0,2850,2585.74,2588.51,2588.51,2605.09,client_stream,2665.97,0,623d143f07e10fc1
A rebuild (no reuse),44,,2868,0,2868,2579.62,2582.38,2582.38,2601.48,client_stream,2669.92,0,951fae24d030b0fb
A rebuild (no reuse),45,,2886,0,2886,2637.8,2640.7,2640.7,2656.91,client_stream,2717.28,0,8991ffd826bf9448
A rebuild (no reuse),46,,2904,0,2904,2657.57,2660.27,2660.27,2678.42,client_stream,2743.71,0,2e4113df06adff3c
A rebuild (no reuse),47,,2922,0,2922,2663.01,2665.77,2665.77,2680.95,client_stream,2737.6,0,0fd83775fb83fbfa
A rebuild (no reuse),48,,2940,0,2940,2701.47,2704.24,2704.24,2720.91,client_stream,2782.1,0,fa472b33ba2a2ff3
A rebuild (no reuse),49,,2958,0,2958,2673.72,2676.45,2676.45,2693.12,client_stream,2754.1,0,4c19b19a3c8e4b65
A rebuild (no reuse),50,,2976,0,2976,2708.18,2711.03,2711.03,2727.29,client_stream,2787.48,0,0898e6464cb8f099
B spine reuse,1,,2094,2084,10,42.37,45.06,45.06,59.96,client_stream,115.74,0,3ca1c5354eb5bc6a
B spine reuse,2,,2112,2084,28,79.03,81.37,81.37,95.53,client_stream,147.53,0,bb9e6e46708f447f
B spine reuse,3,,2130,2102,28,89.04,92.13,92.13,105.51,client_stream,158.11,0,d62468582b4660ad
B spine reuse,4,,2148,2120,28,93.56,95.94,95.94,109.78,client_stream,160.93,0,b3f661ce875dff79
B spine reuse,5,,2166,2138,28,88.5,90.9,90.9,106.19,client_stream,161.74,0,bd799904ac242ad0
B spine reuse,6,,2184,2156,28,80.91,83.24,83.24,99.6,client_stream,158.07,0,fda6254b68c3f34d
B spine reuse,7,,2202,2174,28,81.43,83.7,83.7,97.4,client_stream,147.69,0,0f03a5dde1ce7ed7
B spine reuse,8,,2220,2192,28,82.18,84.58,84.58,98.88,client_stream,151.48,0,a4162b450cc32271
B spine reuse,9,,2238,2210,28,84.27,86.78,86.78,101.01,client_stream,153.8,0,78542f722a2c9fe1
B spine reuse,10,,2256,2228,28,83.73,86.11,86.11,100.21,client_stream,152.07,0,bb42ab0d040ea6c7
B spine reuse,11,,2274,2246,28,82.71,85.14,85.14,98.84,client_stream,149.73,0,2389e7e0a5e71544
B spine reuse,12,,2292,2264,28,83.28,85.83,85.83,99.37,client_stream,150.32,0,b41c1bf51da07ca2
B spine reuse,13,,2310,2282,28,86.41,88.82,88.82,103.02,client_stream,155.37,0,2dd1e09eaa12ab16
B spine reuse,14,,2328,2300,28,97.6,100.03,100.03,116.84,client_stream,177.1,0,6e6a8810eb1db8a1
B spine reuse,15,,2346,2318,28,85.28,88.14,88.14,103.99,client_stream,163.05,0,8ed461298d3b7b86
B spine reuse,16,,2364,2336,28,85.73,88.18,88.18,102.63,client_stream,155.89,0,b4eed09180a68082
B spine reuse,17,,2382,2354,28,86.59,89.31,89.31,103.83,client_stream,158.36,0,90624bb04b821f95
B spine reuse,18,,2400,2372,28,88.25,90.67,90.67,104.95,client_stream,157.55,0,6060d0ac50d9fac3
B spine reuse,19,,2418,2390,28,88.68,91.24,91.24,108.21,client_stream,169.44,0,42dcdb86f0ec5527
B spine reuse,20,,2436,2408,28,88.46,90.92,90.92,105.92,client_stream,160.86,0,7d8bc6925a3bc1c5
B spine reuse,21,,2454,2426,28,87.63,90.19,90.19,104.55,client_stream,157.95,0,872ed1557e3a1f01
B spine reuse,22,,2472,2444,28,88.6,91.14,91.14,105.48,client_stream,158.75,0,955664455b819cef
B spine reuse,23,,2490,2462,28,98.4,100.97,100.97,115.07,client_stream,167.75,0,e6c504b3a1eddb93
B spine reuse,24,,2508,2480,28,90.36,92.88,92.88,107.87,client_stream,162.99,0,1709f025e6da0654
B spine reuse,25,,2526,2498,28,90.95,93.48,93.48,108.43,client_stream,163.49,0,6bd2eddc8e8f466d
B spine reuse,26,,2544,2516,28,104.17,106.68,106.68,120.71,client_stream,172.93,0,8c94227a626cd7f1
B spine reuse,27,,2562,2534,28,102.61,105.25,105.25,122.02,client_stream,182.93,0,0cb1ccb9e92b2797
B spine reuse,28,,2580,2552,28,93.38,95.98,95.98,111.67,client_stream,169.21,0,902556e755b4e595
B spine reuse,29,,2598,2570,28,103.7,106.25,106.25,120.88,client_stream,175.08,0,de5b74b722e6bdd5
B spine reuse,30,,2616,2588,28,93.08,95.6,95.6,110.64,client_stream,165.91,0,1b45266ab9c188d3
B spine reuse,31,,2634,2606,28,95.2,97.75,97.75,112.58,client_stream,167.36,0,b3d016e7cc7998c0
B spine reuse,32,,2652,2624,28,94.66,97.31,97.31,112.76,client_stream,169.87,0,c9cab98251c013a9
B spine reuse,33,,2670,2642,28,94.45,97.05,97.05,111.88,client_stream,166.84,0,008b4fdfa3b00b50
B spine reuse,34,,2688,2660,28,108.74,111.34,111.34,126.33,client_stream,181.84,0,6ab9c8d0c7675eb2
B spine reuse,35,,2706,2678,28,97.31,99.94,99.94,114.64,client_stream,169.37,0,6e0bb6a0ca9ea2e3
B spine reuse,36,,2724,2696,28,98.71,101.39,101.39,117.68,client_stream,177.38,0,e0462d75b805b06b
B spine reuse,37,,2742,2714,28,98.74,101.38,101.38,116.25,client_stream,171.51,0,cf10f34500b990da
B spine reuse,38,,2760,2732,28,101.06,103.68,103.68,119.05,client_stream,175.67,0,df3b3945c2a239f2
B spine reuse,39,,2778,2750,28,100.05,102.7,102.7,117.74,client_stream,173.55,0,c233e49623e7d782
B spine reuse,40,,2796,2768,28,101.66,104.33,104.33,120.43,client_stream,179.48,0,e5221e0ba03eb0ec
B spine reuse,41,,2814,2786,28,100.7,103.35,103.35,118.75,client_stream,175.64,0,41bee671093c4cdc
B spine reuse,42,,2832,2804,28,106.38,109.02,109.02,124.72,client_stream,182.54,0,564a514eb7b9b11a
B spine reuse,43,,2850,2822,28,101.97,104.65,104.65,120.25,client_stream,177.85,0,623d143f07e10fc1
B spine reuse,44,,2868,2840,28,103.31,105.96,105.96,121.48,client_stream,178.79,0,951fae24d030b0fb
B spine reuse,45,,2886,2858,28,104.88,107.69,107.69,123.14,client_stream,180.9,0,8991ffd826bf9448
B spine reuse,46,,2904,2876,28,123.73,126.47,126.47,141.98,client_stream,199.57,0,2e4113df06adff3c
B spine reuse,47,,2922,2894,28,105.87,108.6,108.6,125.0,client_stream,185.23,0,0fd83775fb83fbfa
B spine reuse,48,,2940,2912,28,106.17,109.22,109.22,124.64,client_stream,183.2,0,fa472b33ba2a2ff3
B spine reuse,49,,2958,2930,28,107.99,110.66,110.66,125.97,client_stream,182.68,0,4c19b19a3c8e4b65
B spine reuse,50,,2976,2948,28,106.04,108.86,108.86,124.72,client_stream,183.65,0,0898e6464cb8f099
C rebase/10,1,,2094,2084,10,42.09,44.46,44.46,62.2,client_stream,125.07,0,3ca1c5354eb5bc6a
C rebase/10,2,,2112,2084,28,80.19,82.58,82.58,96.17,client_stream,146.58,0,bb9e6e46708f447f
C rebase/10,3,,2130,2102,28,80.34,82.64,82.64,96.53,client_stream,147.45,0,d62468582b4660ad
C rebase/10,4,,2148,2120,28,81.23,83.71,83.71,97.92,client_stream,150.54,0,b3f661ce875dff79
C rebase/10,5,,2166,2138,28,85.85,88.33,88.33,102.0,client_stream,152.97,0,bd799904ac242ad0
C rebase/10,6,,2184,2156,28,81.31,83.8,83.8,100.62,client_stream,161.08,0,fda6254b68c3f34d
C rebase/10,7,,2202,2174,28,82.4,84.81,84.81,99.16,client_stream,151.87,0,0f03a5dde1ce7ed7
C rebase/10,8,,2220,2192,28,84.48,86.91,86.91,101.22,client_stream,153.95,0,a4162b450cc32271
C rebase/10,9,,2238,2210,28,82.5,84.93,84.93,99.27,client_stream,152.11,0,78542f722a2c9fe1
C rebase/10,10,,2256,2246,10,44.27,46.59,46.59,61.18,client_stream,114.35,1,bb42ab0d040ea6c7
