family,concurrency,predict,new_tokens_per_req,aggregate_new_tokens,outputs_match_oracle,requests,wall_ms,req_per_s,ne11_calls,ne11_tokens,ne11_top_bucket,ne11_buckets,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,ttft_ms_mean,ttft_ms_max,total_ms_p50,total_ms_p95,total_ms_p99,total_ms_mean,total_ms_max
~79 new,1,4,95,95,1,1,323.6,3.09,6719,162381,64,b1:5064;b64:1656,280.48,280.48,280.48,280.48,280.48,323.31,323.31,323.31,323.31,323.31
~79 new,2,4,1533,3066,1,2,2418.3,0.827,8420,2706104,1024,b1:80;b2:5032;b128:1656;b1024:1656,2334.09,2334.09,2334.09,2334.0,2334.09,2417.94,2417.94,2417.94,2417.86,2417.94
~79 new,4,4,95,380,1,4,1001.2,3.995,6722,649504,256,b1:12;b4:5056;b256:1656,885.62,885.67,885.67,885.58,885.67,1000.37,1000.88,1000.88,1000.07,1000.88
~79 new,8,4,95,760,1,8,1864.8,4.29,6742,1299024,512,b1:32;b8:5054;b512:1656,1660.31,1660.44,1660.44,1660.3,1660.44,1863.72,1864.31,1864.31,1863.31,1864.31
~379 new,1,4,395,395,1,1,824.2,1.213,6723,659183,256,b1:5064;b256:1656,778.03,778.03,778.03,778.03,778.03,823.96,823.96,823.96,823.96,823.96
~379 new,2,4,402,804,1,2,1671.6,1.196,8400,1329952,512,b1:56;b2:5032;b4:1656;b512:1656,1603.99,1603.99,1603.99,1603.95,1603.99,1671.4,1671.4,1671.4,1671.2,1671.4
~379 new,4,4,402,1608,1,4,2546.3,1.571,8400,2659887,1024,b1:8;b2:48;b4:5029;b8:1656;b1024:1656,2459.44,2459.52,2459.52,2459.42,2459.52,2545.52,2546.05,2546.05,2545.46,2546.05
~379 new,8,4,402,3216,1,8,6201.7,1.29,18460,5319818,1024,b1:128;b2:1704;b4:3360;b8:4992;b32:1656;b256:3312;b512:1656;b1024:1656,4108.97,5324.88,5324.88,3701.33,5324.88,6169.45,6199.47,6199.47,6169.2,6199.47
~759 new,1,4,775,775,1,1,1459.3,0.685,6720,1288464,512,b1:5064;b512:1656,1415.18,1415.18,1415.18,1415.18,1415.18,1459.06,1459.06,1459.06,1459.06,1459.06
~759 new,2,4,782,1564,0,2,2217.7,0.902,8382,2588476,1024,b1:56;b2:5016;b4:1656;b1024:1656,2153.85,2153.85,2153.85,2153.78,2153.85,2217.37,2217.37,2217.37,2217.22,2217.37
~759 new,4,4,782,3128,1,4,4970.0,0.805,13441,5177054,1024,b1:72;b2:1728;b4:5016;b256:1656;b512:3312;b1024:1656,3375.56,4885.01,4885.01,3416.56,4885.01,4969.29,4969.8,4969.8,4955.63,4969.8
~759 new,8,4,782,6256,0,8,9923.6,0.806,26821,10354093,1024,b1:1837;b2:1728;b4:5040;b8:3312;b64:3312;b128:3312;b512:4968;b1024:3312,4556.39,7329.74,7329.74,4849.92,7329.74,9871.11,9921.94,9921.94,9873.09,9921.94
~1139 new,1,4,1155,1155,1,1,1441.7,0.694,6722,1917745,1024,b1:5064;b1024:1656,1375.25,1375.25,1375.25,1375.25,1375.25,1441.39,1441.39,1441.39,1441.39,1441.39
~1139 new,2,4,1155,2310,1,2,3309.1,0.604,11740,3835488,1024,b1:1752;b2:5016;b256:3312;b1024:1656,3219.98,3219.98,3219.98,3009.99,3219.98,3308.69,3308.69,3308.69,3299.96,3308.69
~1139 new,4,4,1155,4620,1,4,6994.7,0.572,18456,7671000,1024,b1:1824;b2:1704;b4:4992;b256:1656;b512:6624;b1024:1656,4297.37,6195.94,6195.94,4441.86,6195.94,6976.45,6994.49,6994.49,6972.47,6994.49
~1139 new,8,4,1155,9240,0,8,13245.7,0.604,31820,15341948,1024,b1:1892;b2:1704;b4:6696;b8:1656;b256:6624;b512:6624;b1024:6624,5158.07,7772.89,7772.89,5324.71,7772.89,13193.13,13244.17,13244.17,13017.06,13244.17
