age_from_newest,idx,eval_n,reused_n,ttft_ms,warm
0,127,1,1490,26.8,1
1,126,1,1490,27.28,1
2,125,1,1490,26.99,1
3,124,1,1490,26.67,1
4,123,1,1490,25.67,1
5,122,1,1490,25.44,1
6,121,1,1490,25.64,1
7,120,1,1490,25.62,1
8,119,1,1490,25.8,1
9,118,1,1490,25.82,1
10,117,1,1490,26.28,1
11,116,1,1490,25.53,1
12,115,1,1490,26.07,1
13,114,1,1490,25.95,1
14,113,1,1490,26.62,1
15,112,1,1490,25.82,1
16,111,1,1490,25.89,1
17,110,1,1490,25.65,1
18,109,1,1490,25.42,1
19,108,1,1490,25.4,1
20,107,1,1490,25.31,1
21,106,1,1490,25.93,1
22,105,1,1490,25.86,1
23,104,1,1490,25.92,1
24,103,1,1490,27.34,1
25,102,1,1490,26.12,1
26,101,1,1490,28.45,1
27,100,1,1490,25.43,1
28,99,1,1490,26.74,1
29,98,1,1490,25.91,1
30,97,1,1490,26.34,1
31,96,1,1490,26.23,1
32,95,1,1490,25.86,1
33,94,1,1490,26.19,1
34,93,1,1490,25.91,1
35,92,1,1490,25.73,1
36,91,1,1490,25.44,1
37,90,1,1490,25.69,1
38,89,1,1490,26.33,1
39,88,1,1490,26.29,1
40,87,1,1490,25.58,1
41,86,1,1490,25.9,1
42,85,1,1490,25.51,1
43,84,1,1490,25.37,1
44,83,1,1490,25.76,1
45,82,1,1490,26.36,1
46,81,1,1490,25.84,1
47,80,1,1490,25.99,1
48,79,1,1490,25.62,1
49,78,1,1490,26.44,1
50,77,1,1490,25.25,1
51,76,1,1490,26.33,1
52,75,1,1490,25.48,1
53,74,1,1490,25.68,1
54,73,1,1490,25.81,1
55,72,1,1490,25.62,1
56,71,1,1490,25.55,1
57,70,1,1490,25.94,1
58,69,1,1490,26.1,1
59,68,1,1490,25.45,1
60,67,1,1490,25.58,1
61,66,1,1490,25.74,1
62,65,1,1490,25.72,1
63,64,1,1490,25.54,1
64,63,1,1490,25.73,1
65,62,1,1490,25.97,1
66,61,1,1490,26.05,1
67,60,1,1490,25.65,1
68,59,1,1490,26.22,1
69,58,1,1490,25.75,1
70,57,1,1490,25.67,1
71,56,1,1490,26.19,1
72,55,1,1490,25.84,1
73,54,1,1490,26.09,1
74,53,1381,110,1397.0,0
75,52,1381,110,1383.03,0
76,51,1381,110,1419.81,0
