regime,turn,supplied_n,reused_n,eval_n,prompt_ms,ttft_ms,total_ms,rebased,state_version
A rebuild (no reuse),1,2094,0,2094,2800.97,2815.48,3097.07,0,3ca1c5354eb5bc6a
A rebuild (no reuse),2,2112,0,2112,2610.99,2626.34,2675.54,0,bb9e6e46708f447f
A rebuild (no reuse),3,2130,0,2130,2679.65,2694.0,2740.15,0,d62468582b4660ad
A rebuild (no reuse),4,2148,0,2148,2686.78,2701.38,2748.88,0,b3f661ce875dff79
A rebuild (no reuse),5,2166,0,2166,2726.16,2741.23,2790.25,0,bd799904ac242ad0
A rebuild (no reuse),6,2184,0,2184,2724.75,2738.74,2784.44,0,fda6254b68c3f34d
A rebuild (no reuse),7,2202,0,2202,2793.14,2807.2,2853.08,0,0f03a5dde1ce7ed7
A rebuild (no reuse),8,2220,0,2220,2781.05,2795.19,2840.76,0,a4162b450cc32271
A rebuild (no reuse),9,2238,0,2238,2850.04,2863.96,2909.56,0,78542f722a2c9fe1
A rebuild (no reuse),10,2256,0,2256,2878.7,2893.69,2942.49,0,bb42ab0d040ea6c7
A rebuild (no reuse),11,2274,0,2274,2870.44,2888.16,2945.15,0,2389e7e0a5e71544
A rebuild (no reuse),12,2292,0,2292,2942.67,2957.03,3003.91,0,b41c1bf51da07ca2
A rebuild (no reuse),13,2310,0,2310,2983.69,2999.32,3050.08,0,2dd1e09eaa12ab16
A rebuild (no reuse),14,2328,0,2328,3023.28,3037.55,3083.93,0,6e6a8810eb1db8a1
A rebuild (no reuse),15,2346,0,2346,3008.32,3022.68,3069.67,0,8ed461298d3b7b86
A rebuild (no reuse),16,2364,0,2364,3079.0,3094.21,3143.8,0,b4eed09180a68082
A rebuild (no reuse),17,2382,0,2382,3085.23,3101.43,3153.89,0,90624bb04b821f95
A rebuild (no reuse),18,2400,0,2400,3111.03,3125.68,3172.98,0,6060d0ac50d9fac3
A rebuild (no reuse),19,2418,0,2418,3172.31,3187.36,3235.79,0,42dcdb86f0ec5527
A rebuild (no reuse),20,2436,0,2436,3176.31,3191.06,3238.73,0,7d8bc6925a3bc1c5
A rebuild (no reuse),21,2454,0,2454,3264.88,3280.74,3331.53,0,872ed1557e3a1f01
A rebuild (no reuse),22,2472,0,2472,3240.3,3255.09,3302.73,0,955664455b819cef
A rebuild (no reuse),23,2490,0,2490,3320.28,3334.77,3382.21,0,e6c504b3a1eddb93
A rebuild (no reuse),24,2508,0,2508,3328.12,3343.06,3391.36,0,1709f025e6da0654
A rebuild (no reuse),25,2526,0,2526,3323.36,3338.17,3385.91,0,6bd2eddc8e8f466d
A rebuild (no reuse),26,2544,0,2544,3329.52,3344.38,3392.26,0,8c94227a626cd7f1
A rebuild (no reuse),27,,,,,,2.93,0,0cb1ccb9e92b2797
A rebuild (no reuse),28,,,,,,2.03,0,902556e755b4e595
A rebuild (no reuse),29,,,,,,1.87,0,de5b74b722e6bdd5
A rebuild (no reuse),30,,,,,,1.86,0,1b45266ab9c188d3
A rebuild (no reuse),31,,,,,,1.75,0,b3d016e7cc7998c0
A rebuild (no reuse),32,,,,,,2.13,0,c9cab98251c013a9
A rebuild (no reuse),33,,,,,,1.7,0,008b4fdfa3b00b50
A rebuild (no reuse),34,,,,,,1.83,0,6ab9c8d0c7675eb2
A rebuild (no reuse),35,,,,,,3.31,0,6e0bb6a0ca9ea2e3
A rebuild (no reuse),36,,,,,,2.93,0,e0462d75b805b06b
A rebuild (no reuse),37,,,,,,2.74,0,cf10f34500b990da
A rebuild (no reuse),38,,,,,,2.72,0,df3b3945c2a239f2
A rebuild (no reuse),39,,,,,,1.97,0,c233e49623e7d782
A rebuild (no reuse),40,,,,,,2.52,0,e5221e0ba03eb0ec
A rebuild (no reuse),41,,,,,,2.4,0,41bee671093c4cdc
A rebuild (no reuse),42,,,,,,1.82,0,564a514eb7b9b11a
A rebuild (no reuse),43,,,,,,1.75,0,623d143f07e10fc1
A rebuild (no reuse),44,,,,,,2.58,0,951fae24d030b0fb
A rebuild (no reuse),45,,,,,,1.89,0,8991ffd826bf9448
A rebuild (no reuse),46,,,,,,2.49,0,2e4113df06adff3c
A rebuild (no reuse),47,,,,,,2.48,0,0fd83775fb83fbfa
A rebuild (no reuse),48,,,,,,2.43,0,fa472b33ba2a2ff3
A rebuild (no reuse),49,,,,,,1.98,0,4c19b19a3c8e4b65
A rebuild (no reuse),50,,,,,,2.39,0,0898e6464cb8f099
B spine reuse,1,2094,2084,10,59.24,73.5,118.3,0,3ca1c5354eb5bc6a
B spine reuse,2,2112,2084,28,135.72,149.47,193.78,0,bb9e6e46708f447f
B spine reuse,3,2130,2102,28,132.33,146.22,190.98,0,d62468582b4660ad
B spine reuse,4,2148,2120,28,128.31,142.39,188.24,0,b3f661ce875dff79
B spine reuse,5,2166,2138,28,126.94,142.15,190.91,0,bd799904ac242ad0
B spine reuse,6,2184,2156,28,126.58,140.05,183.51,0,fda6254b68c3f34d
