rep,prompt,ub,threads,tiles,auto_pick,tok_s
1,3968,2048,3,auto,4,345.68
1,3968,2048,3,0,,216.97
1,3968,2048,3,1,,249.04
1,3968,2048,3,2,,345.59
1,3968,2048,5,1,,445.68
1,3968,2048,5,2,,526.36
1,3968,2048,5,auto,4,529.98
1,3968,2048,5,0,,361.85
1,3968,2048,7,auto,4,605.28
1,3968,2048,7,0,,460.09
1,3968,2048,7,1,,567.32
1,3968,2048,7,2,,600.24
1,3968,2048,9,1,,690.67
1,3968,2048,9,2,,673.88
1,3968,2048,9,auto,3,693.76
1,3968,2048,9,0,,548.46
1,3968,2048,12,0,,701.41
1,3968,2048,12,1,,867.41
1,3968,2048,12,2,,808.27
1,3968,2048,12,auto,2,863.69
1,3968,2048,15,auto,2,1034.84
1,3968,2048,15,0,,830.1
1,3968,2048,15,1,,1026.32
1,3968,2048,15,2,,898.51
2,3968,2048,3,0,,215.83
2,3968,2048,3,1,,249.21
2,3968,2048,3,2,,345.87
2,3968,2048,3,auto,4,346.55
2,3968,2048,5,2,,526.8
2,3968,2048,5,auto,4,525.31
2,3968,2048,5,0,,363.31
2,3968,2048,5,1,,445.83
2,3968,2048,7,0,,460.35
2,3968,2048,7,1,,564.59
2,3968,2048,7,2,,601.11
2,3968,2048,7,auto,4,602.6
2,3968,2048,9,2,,683.12
2,3968,2048,9,auto,3,695.57
2,3968,2048,9,0,,548.63
2,3968,2048,9,1,,688.14
2,3968,2048,12,1,,869.22
2,3968,2048,12,2,,803.52
2,3968,2048,12,auto,2,876.99
2,3968,2048,12,0,,697.17
2,3968,2048,15,0,,836.61
2,3968,2048,15,1,,1037.36
2,3968,2048,15,2,,903.15
2,3968,2048,15,auto,2,1021.01
3,3968,2048,3,1,,248.55
3,3968,2048,3,2,,344.38
3,3968,2048,3,auto,4,344.94
3,3968,2048,3,0,,216.39
3,3968,2048,5,auto,4,529.26
3,3968,2048,5,0,,361.77
3,3968,2048,5,1,,444.7
3,3968,2048,5,2,,525.79
3,3968,2048,7,1,,568.26
3,3968,2048,7,2,,601.85
3,3968,2048,7,auto,4,601.62
3,3968,2048,7,0,,455.43
3,3968,2048,9,auto,3,687.81
3,3968,2048,9,0,,550.07
3,3968,2048,9,1,,684.82
3,3968,2048,9,2,,684.9
3,3968,2048,12,2,,801.85
3,3968,2048,12,auto,2,871.56
3,3968,2048,12,0,,695.65
3,3968,2048,12,1,,873.79
3,3968,2048,15,1,,1031.47
3,3968,2048,15,2,,906.51
3,3968,2048,15,auto,2,1028.03
3,3968,2048,15,0,,841.45
