rep,threads,mode,tok_s,watts,mj_per_token
1,8,arena,843.6,72.6,86.09
1,8,closeout,862.3,75.7,87.79
2,8,arena,838.2,75.7,90.30
2,8,closeout,854.4,75.7,88.57
3,8,arena,841.5,75.2,89.37
3,8,closeout,861.8,76.1,88.28
4,8,arena,837.8,74.9,89.34
4,8,closeout,878.1,76.5,87.14
5,8,arena,831.9,74.8,89.97
5,8,closeout,865.6,76.1,87.94
1,6,arena,731.3,70.9,96.95
1,6,closeout,749.5,70.9,94.65
2,6,arena,736.9,70.8,96.03
2,6,closeout,751.7,71.6,95.19
3,6,arena,734.2,70.9,96.59
3,6,closeout,752.4,71.0,94.42
4,6,arena,725.2,69.8,96.32
4,6,closeout,751.6,71.1,94.63
5,6,arena,731.5,70.9,96.98
5,6,closeout,751.6,71.4,94.93
