epi_all_thread_ms,epi_thread_ms,kreduce,partacc_ms,partcopy_ms,prompt,rep,threads,tok_s,ub,wall_ms
678.125,63.916,0,55.308,19.28825,2048,1,4,588.57,2048,3479.6200961652817
772.125,158.81625,1,0.0,0.0,2048,1,4,598.1,2048,3424.176559103829
994.025,91.7075,0,55.153,19.79725,2048,1,6,732.26,2048,2796.82080135471
1149.8,232.38475,1,0.0,0.0,2048,1,6,757.35,2048,2704.1658414207436
1311.825,120.84075,0,53.99475,19.3535,2048,1,8,843.37,2048,2428.3529174620867
1502.675,309.7755,1,0.0,0.0,2048,1,8,865.07,2048,2367.438473187141
722.025,63.688,0,33.53925,10.45675,2048,1,15,1266.44,2048,1617.1314866870914
837.4,179.43975,1,0.0,0.0,2048,1,15,1309.73,2048,1563.6810640360989
1947.3,170.64625,0,86.64475,30.31375,3968,1,8,644.55,2048,6156.23303079668
2248.0,458.75675,1,0.0,0.0,3968,1,8,651.93,2048,6086.543033761294
1452.45,134.41075,0,64.21225,21.2455,3968,1,15,1017.04,2048,3901.5181310469598
1676.325,365.481,1,0.0,0.0,3968,1,15,1038.24,2048,3821.852365541686
677.175,63.80175,0,53.956,19.1535,2048,2,4,586.93,2048,3489.342851788118
775.275,157.99775,1,0.0,0.0,2048,2,4,600.16,2048,3412.4233537723276
1006.1,91.4325,0,54.158,19.3785,2048,2,6,733.3,2048,2792.8542206463935
1146.075,232.52225,1,0.0,0.0,2048,2,6,745.13,2048,2748.5136821762644
1311.9,120.63975,0,54.1135,19.7045,2048,2,8,850.95,2048,2406.7218990539986
1491.8,306.67925,1,0.0,0.0,2048,2,8,867.03,2048,2362.086663667924
723.075,64.932,0,32.77125,10.33225,2048,2,15,1255.81,2048,1630.819948877617
838.7,180.206,1,0.0,0.0,2048,2,15,1273.97,2048,1607.5731767624043
1967.425,171.63575,0,85.15575,29.866,3968,2,8,645.83,2048,6144.031711131412
2248.225,458.66325,1,0.0,0.0,3968,2,8,649.98,2048,6104.803224714607
1440.55,127.99825,0,64.5625,20.7405,3968,2,15,1002.83,2048,3956.802249633537
1677.675,366.38,1,0.0,0.0,3968,2,15,1021.19,2048,3885.662805158687
683.675,64.591,0,55.29,19.49275,2048,3,4,583.83,2048,3507.870441738177
772.525,157.41075,1,0.0,0.0,2048,3,4,597.1,2048,3429.911237648635
990.05,91.262,0,54.36275,19.5685,2048,3,6,729.49,2048,2807.44081481583
1127.025,228.587,1,0.0,0.0,2048,3,6,748.71,2048,2735.3715056563956
1279.55,116.80875,0,53.988,19.481,2048,3,8,838.79,2048,2441.6123225121905
1449.025,298.8705,1,0.0,0.0,2048,3,8,862.72,2048,2373.887240356083
726.325,69.89575,0,32.2345,10.557,2048,3,15,1283.2,2048,1596.009975062344
834.875,178.36925,1,0.0,0.0,2048,3,15,1268.61,2048,1614.3653289821145
1913.425,169.19675,0,87.083,30.289,3968,3,8,640.62,2048,6193.999562923418
2235.325,457.41775,1,0.0,0.0,3968,3,8,644.12,2048,6160.342793268335
1456.85,137.43425,0,64.16725,21.1725,3968,3,15,1018.9,2048,3894.395917165571
1689.4,368.41425,1,0.0,0.0,3968,3,15,1031.92,2048,3845.259322428095
682.725,64.1855,0,55.13525,19.32,2048,4,4,584.79,2048,3502.1118692180103
775.85,158.497,1,0.0,0.0,2048,4,4,598.99,2048,3419.0887994791233
1009.3,90.9315,0,53.92125,19.39275,2048,4,6,734.12,2048,2789.734648286384
1150.475,232.3115,1,0.0,0.0,2048,4,6,750.34,2048,2729.4293253724977
1311.225,119.79725,0,54.0895,19.49675,2048,4,8,836.68,2048,2447.7697566572647
1498.825,305.87525,1,0.0,0.0,2048,4,8,870.85,2048,2351.7253258310843
725.475,69.418,0,31.39575,10.52425,2048,4,15,1280.16,2048,1599.8000249968754
832.625,178.889,1,0.0,0.0,2048,4,15,1278.48,2048,1601.9022589324823
1954.625,171.6995,0,85.9655,29.89575,3968,4,8,644.2,2048,6159.577770878608
2229.675,458.41325,1,0.0,0.0,3968,4,8,647.34,2048,6129.700003089567
1444.775,134.89125,0,64.40875,21.038,3968,4,15,1014.18,2048,3912.520459878917
1687.95,370.14725,1,0.0,0.0,3968,4,15,1028.06,2048,3859.696904849912
680.925,63.58,0,55.3385,19.26375,2048,5,4,583.22,2048,3511.53938479476
776.15,158.0045,1,0.0,0.0,2048,5,4,599.57,2048,3415.781309938789
997.975,90.794,0,53.8785,19.34025,2048,5,6,727.41,2048,2815.468580305467
1151.525,231.62525,1,0.0,0.0,2048,5,6,758.2,2048,2701.1342653653387
1289.275,120.13575,0,54.6685,19.7355,2048,5,8,835.64,2048,2450.816140921928
1472.9,302.7075,1,0.0,0.0,2048,5,8,861.45,2048,2377.386963840037
716.975,62.49,0,32.886,10.4225,2048,5,15,1263.44,2048,1620.9713164060026
835.325,178.87025,1,0.0,0.0,2048,5,15,1279.55,2048,1600.5626978234536
1942.075,170.21225,0,86.4955,30.818,3968,5,8,643.17,2048,6169.44198267954
2231.625,455.52375,1,0.0,0.0,3968,5,8,649.38,2048,6110.4438079398815
1457.2,135.91325,0,64.67525,21.035,3968,5,15,1024.43,2048,3873.3734857432914
1686.5,369.877,1,0.0,0.0,3968,5,15,1033.94,2048,3837.746871191752
