rep,prompt,ub,threads,direct,tiles,auto_pick,tok_s
1,2048,2048,4,0,auto,2,545.17
1,2048,2048,4,0,0,,348.73
1,2048,2048,4,0,1,,431.14
1,2048,2048,4,0,2,,541.61
1,2048,2048,4,1,auto,2,587.11
1,2048,2048,4,1,0,,348.31
1,2048,2048,4,1,1,,430.23
1,2048,2048,4,1,2,,588.58
1,2048,2048,8,0,auto,1,822.21
1,2048,2048,8,0,0,,641.79
1,2048,2048,8,0,1,,817.91
1,2048,2048,8,0,2,,756.12
1,2048,2048,8,1,auto,1,834.64
1,2048,2048,8,1,0,,631.01
1,2048,2048,8,1,1,,824.57
1,2048,2048,8,1,2,,847.31
1,2048,2048,15,0,auto,1,1228.32
1,2048,2048,15,0,0,,1012.76
1,2048,2048,15,0,1,,1219.28
1,2048,2048,15,0,2,,924.21
1,2048,2048,15,1,auto,1,1264.43
1,2048,2048,15,1,0,,1009.32
1,2048,2048,15,1,1,,1259.5
1,2048,2048,15,1,2,,1077.68
2,2048,2048,4,0,auto,2,542.42
2,2048,2048,4,0,0,,346.32
2,2048,2048,4,0,1,,429.62
2,2048,2048,4,0,2,,539.35
2,2048,2048,4,1,auto,2,586.72
2,2048,2048,4,1,0,,347.71
2,2048,2048,4,1,1,,430.49
2,2048,2048,4,1,2,,586.11
2,2048,2048,8,0,auto,1,824.65
2,2048,2048,8,0,0,,630.67
2,2048,2048,8,0,1,,819.53
2,2048,2048,8,0,2,,750.43
2,2048,2048,8,1,auto,1,816.53
2,2048,2048,8,1,0,,629.5
2,2048,2048,8,1,1,,816.72
2,2048,2048,8,1,2,,828.5
2,2048,2048,15,0,auto,1,1236.2
2,2048,2048,15,0,0,,1019.04
2,2048,2048,15,0,1,,1220.43
2,2048,2048,15,0,2,,918.64
2,2048,2048,15,1,auto,1,1274.08
2,2048,2048,15,1,0,,1003.67
2,2048,2048,15,1,1,,1273.42
2,2048,2048,15,1,2,,1062.09
3,2048,2048,4,0,auto,2,536.63
3,2048,2048,4,0,0,,346.37
3,2048,2048,4,0,1,,428.4
3,2048,2048,4,0,2,,539.53
3,2048,2048,4,1,auto,2,583.88
3,2048,2048,4,1,0,,347.21
3,2048,2048,4,1,1,,430.03
3,2048,2048,4,1,2,,588.23
3,2048,2048,8,0,auto,1,833.37
3,2048,2048,8,0,0,,637.53
3,2048,2048,8,0,1,,812.92
3,2048,2048,8,0,2,,755.07
3,2048,2048,8,1,auto,1,811.62
3,2048,2048,8,1,0,,635.04
3,2048,2048,8,1,1,,820.89
3,2048,2048,8,1,2,,844.92
3,2048,2048,15,0,auto,1,1224.21
3,2048,2048,15,0,0,,1009.34
3,2048,2048,15,0,1,,1227.53
3,2048,2048,15,0,2,,933.82
3,2048,2048,15,1,auto,1,1261.81
3,2048,2048,15,1,0,,1008.38
3,2048,2048,15,1,1,,1260.4
3,2048,2048,15,1,2,,1080.35
