rep,prompt,threads,mode,R,tok_s,pick
1,2048,4,tiles0,,345.92,0
1,2048,4,tiles1,,430.06,1
1,2048,4,tiles2,,585.29,2
1,2048,4,auto,10,587.31,2
1,2048,4,auto,25,585.68,2
1,2048,6,tiles0,,500.93,0
1,2048,6,tiles1,,642.7,1
1,2048,6,tiles2,,734.9,2
1,2048,6,auto,10,640.38,1
1,2048,6,auto,25,726.27,2
1,2048,8,tiles0,,634.62,0
1,2048,8,tiles1,,813.48,1
1,2048,8,tiles2,,836.47,2
1,2048,8,auto,10,818.09,1
1,2048,8,auto,25,849.85,2
1,2048,10,tiles0,,761.07,0
1,2048,10,tiles1,,985.2,1
1,2048,10,tiles2,,930.16,2
1,2048,10,auto,10,969.86,1
1,2048,10,auto,25,965.76,1
1,2048,12,tiles0,,864.87,0
1,2048,12,tiles1,,1123.03,1
1,2048,12,tiles2,,997.07,2
1,2048,12,auto,10,1114.77,1
1,2048,12,auto,25,1112.59,1
1,2048,15,tiles0,,1009.35,0
1,2048,15,tiles1,,1265.61,1
1,2048,15,tiles2,,1074.76,2
1,2048,15,auto,10,1268.09,1
1,2048,15,auto,25,1286.68,1
1,3072,4,tiles0,,315.21,0
1,3072,4,tiles1,,414.24,1
1,3072,4,tiles2,,499.79,2
1,3072,4,tiles3,,501.05,3
1,3072,4,auto,10,498.33,3
1,3072,4,auto,25,502.99,3
1,3072,8,tiles0,,577.74,0
1,3072,8,tiles1,,737.02,1
1,3072,8,tiles2,,740.26,2
1,3072,8,tiles3,,748.43,3
1,3072,8,auto,10,730.79,2
1,3072,8,auto,25,735.51,3
1,3072,15,tiles0,,905.47,0
1,3072,15,tiles1,,1040.67,1
1,3072,15,tiles2,,955.07,2
1,3072,15,tiles3,,957.06,3
1,3072,15,auto,10,1048.92,2
1,3072,15,auto,25,1035.58,2
2,2048,4,tiles0,,346.17,0
2,2048,4,tiles1,,429.02,1
2,2048,4,tiles2,,586.09,2
2,2048,4,auto,10,586.2,2
2,2048,4,auto,25,584.93,2
2,2048,6,tiles0,,498.73,0
2,2048,6,tiles1,,633.88,1
2,2048,6,tiles2,,731.32,2
2,2048,6,auto,10,637.67,1
2,2048,6,auto,25,731.65,2
2,2048,8,tiles0,,639.0,0
2,2048,8,tiles1,,833.34,1
2,2048,8,tiles2,,837.6,2
2,2048,8,auto,10,822.1,1
2,2048,8,auto,25,827.12,2
2,2048,10,tiles0,,758.39,0
2,2048,10,tiles1,,974.69,1
2,2048,10,tiles2,,918.68,2
2,2048,10,auto,10,962.81,1
2,2048,10,auto,25,962.22,1
2,2048,12,tiles0,,866.25,0
2,2048,12,tiles1,,1123.06,1
2,2048,12,tiles2,,990.46,2
2,2048,12,auto,10,1081.91,1
2,2048,12,auto,25,1113.19,1
2,2048,15,tiles0,,1003.42,0
2,2048,15,tiles1,,1270.45,1
2,2048,15,tiles2,,1088.02,2
2,2048,15,auto,10,1256.26,1
2,2048,15,auto,25,1257.3,1
2,3072,4,tiles0,,313.25,0
2,3072,4,tiles1,,413.17,1
2,3072,4,tiles2,,501.78,2
2,3072,4,tiles3,,501.06,3
2,3072,4,auto,10,501.92,3
2,3072,4,auto,25,501.35,3
2,3072,8,tiles0,,576.51,0
2,3072,8,tiles1,,732.42,1
2,3072,8,tiles2,,732.96,2
2,3072,8,tiles3,,743.61,3
2,3072,8,auto,10,729.49,2
2,3072,8,auto,25,740.66,3
2,3072,15,tiles0,,897.46,0
2,3072,15,tiles1,,1052.62,1
2,3072,15,tiles2,,964.16,2
2,3072,15,tiles3,,956.33,3
2,3072,15,auto,10,1043.15,2
2,3072,15,auto,25,1045.26,2
