tok_s,wall_ms,npu_ms,dispatches,stage_out_ms,epi_thread_ms,arena_mib,rep,prompt,ub,threads,mode
348.44,5877.625990127425,0.0,0.0,0.0,0.0,0.0,1,2048,2048,4,cpu
541.97,3778.8069450338576,727.0666666666666,642.0,283.5,621.7333333333333,0.0,1,2048,2048,4,gacc
584.02,3506.729221602,730.9333333333334,642.0,0.0,686.1333333333333,60.0,1,2048,2048,4,direct
501.53,4083.5044763025144,0.0,0.0,0.0,0.0,0.0,1,2048,2048,6,cpu
640.28,3198.6006122321483,370.56666666666666,321.0,148.46666666666667,439.5333333333333,0.0,1,2048,2048,6,gacc
733.53,2791.978514852835,710.0666666666666,642.0,0.0,1003.1,60.0,1,2048,2048,6,direct
641.12,3194.4097828799604,0.0,0.0,0.0,0.0,0.0,1,2048,2048,8,cpu
830.98,2464.55991720619,372.90000000000003,321.0,150.33333333333334,554.6333333333333,0.0,1,2048,2048,8,gacc
836.62,2447.94530372212,720.5666666666666,642.0,0.0,1315.8999999999999,60.0,1,2048,2048,8,direct
1014.72,2018.290760012614,0.0,0.0,0.0,0.0,0.0,1,2048,2048,15,cpu
1186.13,1726.6235572829282,402.76666666666665,321.0,169.70000000000002,601.4,0.0,1,2048,2048,15,gacc
1288.41,1589.5561195582152,397.6666666666667,321.0,0.0,711.0,30.0,1,2048,2048,15,direct
279.6,14191.702432045779,0.0,0.0,0.0,0.0,0.0,1,3968,2048,4,cpu
365.08,10868.850662868414,1117.6666666666667,963.0,425.3333333333333,942.4,0.0,1,3968,2048,4,gacc
375.52,10566.680869194717,1095.4666666666667,963.0,0.0,1034.3999999999999,60.0,1,3968,2048,4,direct
410.64,9662.96512760569,0.0,0.0,0.0,0.0,0.0,1,3968,2048,6,cpu
507.63,7816.716900104407,740.9666666666667,642.0,295.53333333333336,885.1666666666666,0.0,1,3968,2048,6,gacc
538.03,7375.053435682026,1090.1333333333334,963.0,0.0,1505.3666666666668,60.0,1,3968,2048,6,direct
513.07,7733.837488062057,0.0,0.0,0.0,0.0,0.0,1,3968,2048,8,cpu
636.04,6238.601345827306,743.9333333333334,642.0,302.1333333333333,1105.8333333333333,0.0,1,3968,2048,8,gacc
641.76,6182.996758912989,1086.7333333333333,963.0,0.0,1954.9333333333334,60.0,1,3968,2048,8,direct
833.08,4763.04796658184,0.0,0.0,0.0,0.0,0.0,1,3968,2048,15,cpu
955.83,4151.365828651538,810.2666666666668,642.0,333.09999999999997,1238.8666666666666,0.0,1,3968,2048,15,gacc
1010.98,3924.9045480622763,810.3000000000001,642.0,0.0,1421.0333333333335,30.0,1,3968,2048,15,direct
345.91,5920.615188921974,0.0,0.0,0.0,0.0,0.0,2,2048,2048,4,cpu
538.66,3802.027252812535,740.1333333333333,642.0,283.90000000000003,627.5666666666667,0.0,2,2048,2048,4,gacc
582.3,3517.0874119869486,729.5666666666666,642.0,0.0,686.2333333333332,60.0,2,2048,2048,4,direct
498.75,4106.265664160401,0.0,0.0,0.0,0.0,0.0,2,2048,2048,6,cpu
639.01,3204.9576688940706,373.23333333333335,321.0,149.29999999999998,438.6333333333334,0.0,2,2048,2048,6,gacc
735.82,2783.289391427251,713.9,642.0,0.0,1002.3333333333334,60.0,2,2048,2048,6,direct
639.6,3202.0012507817387,0.0,0.0,0.0,0.0,0.0,2,2048,2048,8,cpu
832.13,2461.1539062406114,371.0,321.0,151.9,555.7333333333333,0.0,2,2048,2048,8,gacc
851.06,2406.41082884873,712.3666666666667,642.0,0.0,1326.1333333333334,60.0,2,2048,2048,8,direct
1020.37,2007.1150661034721,0.0,0.0,0.0,0.0,0.0,2,2048,2048,15,cpu
1220.47,1678.042065761551,403.73333333333335,321.0,163.43333333333334,635.6999999999999,0.0,2,2048,2048,15,gacc
1259.31,1626.2874113601893,399.1666666666667,321.0,0.0,712.4666666666667,30.0,2,2048,2048,15,direct
279.12,14216.107767268559,0.0,0.0,0.0,0.0,0.0,2,3968,2048,4,cpu
364.14,10896.907782720933,1115.2333333333333,963.0,428.90000000000003,941.1999999999999,0.0,2,3968,2048,4,gacc
375.72,10561.056105610562,1091.2333333333333,963.0,0.0,1033.2,60.0,2,3968,2048,4,direct
410.4,9668.61598440546,0.0,0.0,0.0,0.0,0.0,2,3968,2048,6,cpu
508.69,7800.428551770233,738.7666666666668,642.0,297.06666666666666,873.9,0.0,2,3968,2048,6,gacc
534.39,7425.288646868392,1096.1333333333334,963.0,0.0,1511.0,60.0,2,3968,2048,6,direct
512.27,7745.915240010151,0.0,0.0,0.0,0.0,0.0,2,3968,2048,8,cpu
638.41,6215.441487445372,742.0,642.0,308.1333333333333,1111.3666666666666,0.0,2,3968,2048,8,gacc
637.22,6227.0487429773075,1087.0333333333333,963.0,0.0,1953.7666666666667,60.0,2,3968,2048,8,direct
839.58,4726.172610114581,0.0,0.0,0.0,0.0,0.0,2,3968,2048,15,cpu
963.6,4117.891241178912,811.9666666666667,642.0,330.53333333333336,1230.4666666666667,0.0,2,3968,2048,15,gacc
1013.19,3916.343430156239,806.0,642.0,0.0,1442.2,30.0,2,3968,2048,15,direct
345.63,5925.411567282933,0.0,0.0,0.0,0.0,0.0,3,2048,2048,4,cpu
537.47,3810.4452341526035,746.6,642.0,279.40000000000003,626.8333333333334,0.0,3,2048,2048,4,gacc
584.31,3504.9887901969846,725.5666666666666,642.0,0.0,686.9,60.0,3,2048,2048,4,direct
498.25,4110.386352232815,0.0,0.0,0.0,0.0,0.0,3,2048,2048,6,cpu
631.66,3242.2505778425107,371.6333333333334,321.0,148.26666666666668,435.93333333333334,0.0,3,2048,2048,6,gacc
732.84,2794.6072812619395,716.9333333333334,642.0,0.0,1009.1333333333333,60.0,3,2048,2048,6,direct
634.48,3227.8401210440047,0.0,0.0,0.0,0.0,0.0,3,2048,2048,8,cpu
826.86,2476.840093849019,370.4666666666667,321.0,148.6,549.3666666666667,0.0,3,2048,2048,8,gacc
833.72,2456.4602024660558,732.2666666666668,642.0,0.0,1315.8666666666666,60.0,3,2048,2048,8,direct
1014.23,2019.2658469972296,0.0,0.0,0.0,0.0,0.0,3,2048,2048,15,cpu
1205.75,1698.5278872071326,402.59999999999997,321.0,167.33333333333334,614.4666666666667,0.0,3,2048,2048,15,gacc
1274.31,1607.144258461442,400.6333333333334,321.0,0.0,712.0333333333333,30.0,3,2048,2048,15,direct
279.16,14214.07078377991,0.0,0.0,0.0,0.0,0.0,3,3968,2048,4,cpu
364.27,10893.018914541413,1116.6666666666667,963.0,425.0333333333333,947.5,0.0,3,3968,2048,4,gacc
374.63,10591.783893441529,1098.1000000000001,963.0,0.0,1034.9333333333334,60.0,3,3968,2048,4,direct
411.09,9652.387555036612,0.0,0.0,0.0,0.0,0.0,3,3968,2048,6,cpu
