tok_s,wall_ms,dispatches,npu_ms,stage_in_ms,stage_out_ms,stage_out_gb,epi_thread_ms,sync_in_ms,sync_out_ms,arena_mib,rep,cell,prompt,ub,threads,tiles,variant,direct,async_on
1216.39,1683.6705332993529,321.0,401.8,32.56666666666667,168.06666666666666,2.27,621.0333333333333,10.666666666666666,39.666666666666664,0.0,1,pp2048 ub2048 t15,2048,2048,15,auto,A sync+g_acc,0,0
1275.82,1605.2421187941875,321.0,405.09999999999997,31.266666666666666,170.20000000000002,2.27,644.5666666666667,11.333333333333334,35.666666666666664,0.0,1,pp2048 ub2048 t15,2048,2048,15,auto,B async+g_acc,0,1
1289.09,1588.7176225089017,321.0,399.73333333333335,32.03333333333333,0.0,0.0,714.7666666666668,11.333333333333334,35.666666666666664,30.0,1,pp2048 ub2048 t15,2048,2048,15,auto,C sync+direct,1,0
1268.5,1614.5053212455655,321.0,395.6333333333334,32.6,0.0,0.0,712.8333333333334,11.333333333333334,35.666666666666664,30.0,1,pp2048 ub2048 t15,2048,2048,15,auto,D async+direct,1,1
826.92,2476.660378271175,321.0,371.06666666666666,32.300000000000004,153.73333333333332,2.27,548.8666666666667,9.666666666666666,36.0,0.0,1,pp2048 ub2048 t8,2048,2048,8,auto,A sync+g_acc,0,0
815.6,2511.0348209906815,321.0,379.1333333333334,32.0,157.1,2.27,553.5,9.666666666666666,32.0,0.0,1,pp2048 ub2048 t8,2048,2048,8,auto,B async+g_acc,0,1
826.46,2478.0388645548483,321.0,367.1666666666667,32.333333333333336,0.0,0.0,639.3666666666667,9.666666666666666,31.333333333333332,30.0,1,pp2048 ub2048 t8,2048,2048,8,auto,C sync+direct,1,0
838.17,2443.4183996086713,321.0,366.8333333333333,31.599999999999998,0.0,0.0,651.3666666666667,10.0,31.333333333333332,30.0,1,pp2048 ub2048 t8,2048,2048,8,auto,D async+direct,1,1
543.16,3770.5280212092202,642.0,721.9,59.300000000000004,285.2,4.543333333333334,621.6999999999999,18.333333333333332,74.0,0.0,1,pp2048 ub2048 t4,2048,2048,4,auto,A sync+g_acc,0,0
565.2,3623.4961075725405,642.0,734.4666666666667,58.699999999999996,295.46666666666664,4.543333333333334,631.1666666666666,18.0,66.33333333333333,0.0,1,pp2048 ub2048 t4,2048,2048,4,auto,B async+g_acc,0,1
588.77,3478.4380997673115,642.0,733.3000000000001,54.86666666666667,0.0,0.0,685.0,18.333333333333332,61.333333333333336,60.0,1,pp2048 ub2048 t4,2048,2048,4,auto,C sync+direct,1,0
590.19,3470.068960843118,642.0,727.0,54.300000000000004,0.0,0.0,684.8666666666667,18.333333333333332,60.666666666666664,60.0,1,pp2048 ub2048 t4,2048,2048,4,auto,D async+direct,1,1
917.62,2231.860683071424,642.0,743.8666666666667,55.833333333333336,316.06666666666666,4.543333333333334,1199.2,19.666666666666668,76.33333333333333,0.0,1,pp2048 allNPU t15,2048,2048,15,2,A sync+g_acc,0,0
1002.35,2043.1984835636254,642.0,744.3333333333334,54.53333333333333,316.46666666666664,4.543333333333334,1220.7333333333333,20.333333333333332,69.0,0.0,1,pp2048 allNPU t15,2048,2048,15,2,B async+g_acc,0,1
1088.07,1882.2318417013612,642.0,732.0666666666666,52.03333333333333,0.0,0.0,1303.8999999999999,20.0,63.666666666666664,60.0,1,pp2048 allNPU t15,2048,2048,15,2,C sync+direct,1,0
1070.71,1912.7494839872606,642.0,731.4666666666667,54.63333333333333,0.0,0.0,1302.9333333333334,19.666666666666668,63.333333333333336,60.0,1,pp2048 allNPU t15,2048,2048,15,2,D async+direct,1,1
