rep,threads,mode,tok_s,watts,mj_per_token
1,8,gacc,827.5,90.2,108.98
1,8,direct,844.6,75.2,89.00
2,8,gacc,821.8,93.5,113.77
2,8,direct,837.0,74.8,89.40
3,8,gacc,826.9,93.6,113.16
3,8,direct,843.4,75.5,89.56
4,8,gacc,826.8,93.5,113.11
4,8,direct,836.1,74.9,89.56
5,8,gacc,816.4,92.7,113.59
5,8,direct,835.0,74.6,89.33
1,6,gacc,636.1,83.7,131.59
1,6,direct,723.7,70.2,96.94
2,6,gacc,633.1,83.6,132.08
2,6,direct,729.4,70.5,96.70
3,6,gacc,637.3,83.7,131.28
3,6,direct,728.2,70.6,96.98
4,6,gacc,639.6,84.1,131.54
4,6,direct,725.8,70.6,97.33
5,6,gacc,636.6,83.5,131.25
5,6,direct,732.5,70.6,96.32
