rep,arm,threads,backend,ttft_ms,total_ms,cotenant_it_s
1,15T CPU-only,15,cpu,3368.3,3921.3,962.1
1,8T hybrid g_acc,8,gacc,2848.3,3404.3,1026.0
1,8T hybrid direct,8,direct,2785.8,3428.8,1060.2
1,4T hybrid direct,4,direct,3847.2,4569.3,1087.8
2,15T CPU-only,15,cpu,3411.7,3984.8,1062.8
2,8T hybrid g_acc,8,gacc,2863.7,3677.7,1070.5
2,8T hybrid direct,8,direct,2808.6,3459.7,1078.9
2,4T hybrid direct,4,direct,3830.0,4673.5,1089.8
3,15T CPU-only,15,cpu,3338.2,3912.3,1074.0
3,8T hybrid g_acc,8,gacc,2861.3,3505.3,1077.0
3,8T hybrid direct,8,direct,2803.3,3599.1,1081.8
3,4T hybrid direct,4,direct,3823.5,4667.6,1088.1
