m,k,n,l1_bytes,new_to_sweep,wall_s,cache_key,xclbin_sha256,status,npu_us,npu_us_min,npu_us_max,e2e_us,gops,tops,detail
128,64,64,57344,1,3.3,,,PASS,1103.5,1089.4,1155.3,1275.1,12162.9,12.163,
64,64,64,32768,0,7.3,b5a2948b934252d5d02cb455,1f4d3cd0207ca99163f8ecc2f59f1798dac2f713dd0ef87a3339556e5c8e160d,PASS,1301.4,1295.1,1320.3,1421.8,10313.6,10.314,
128,32,64,45056,1,7.4,cbd6d6fc4e2743a4c8718b40,55a16740c434528013780459de3b24c63225c128a6aa1c8982122ee5fa69c669,PASS,1747.3,1742.7,1755.3,1856.3,7681.32,7.681,
128,64,32,36864,0,7.3,f3c5adf5551617ae8fcd44a2,e3cdd837ba3e9248bf7b3a6feb76a58a67b33d07f6cb87d0e95692004d1ea8b7,PASS,1506.7,1497.5,1517.7,1617.5,8908.33,8.908,
64,64,80,38912,0,7.4,4cf0e00d61320ffcbd73d33b,4f2b5b0aba6bfad57acd5a9ff353c784d0c03d26e325f18c8399122e03fe697f,PASS,1296.9,1284.9,1354.8,1409.3,10348.78,10.349,
128,32,80,54272,1,7.4,d9bb3c8bf5cea50093ce7d83,664643c69af922517a1d7d795f506cf308074d5afc37e48a363760abedc6a8fd,PASS,1607.8,1597.7,1627.2,1722.4,8347.8,8.348,
32,64,64,20480,0,7.6,222f63354b7c244b6d85986c,1834ef89acae104059e15f04a370dda473f1b188987ea9e192c27e95a7be7872,PASS,2307.5,2285.8,2397.1,2476.9,5816.52,5.817,
64,32,64,24576,0,7.5,8e1e6a7573aa97f4a92ef7b2,29ef23857c5df24aaff90297881f840f10686611edd18ff5324700ce6e162fad,PASS,2356.3,2347.2,2375.4,2487.4,5696.2,5.696,
64,64,32,20480,0,7.4,d4fe34d22df175d90134e894,2d51c6b2b5568d1edce8e4659bd7633442a7c1aed1b6cc9bfdaeb3a2f0526b01,PASS,1806.6,1795.1,1830.5,1915.0,7429.44,7.429,
64,128,64,49152,0,7.4,293210db72bfc8be2bbe9e50,610a833edfed2356d5918be05cc9b2750c25e4296912d9220771960ca2a4c09e,PASS,978.9,972.0,1041.2,1105.1,13711.61,13.712,
128,16,64,38912,1,7.6,abea16d238fc7875c9de458d,9e043df6db2c741da06fc8d893c2eb71be72156a75c046bc55c96ea483e9749d,PASS,3283.6,3256.4,3343.0,3590.1,4087.55,4.088,
128,32,32,26624,0,7.4,3262cee6b65723f5f6287bba,0beb78837c90fb55d38ebd5861d441e3c3a97e629ff3c0dff449aff605c36ea8,PASS,2772.9,2747.1,2795.0,2997.2,4840.27,4.84,
128,64,16,26624,0,7.4,5aa9bef059cbc3887cbc8a39,641ad1a4ce65582c5ca252fe0d8e29b0ea6cf8e3312baf08f28edc787be418b5,PASS,2734.8,2701.3,2790.9,3011.0,4907.69,4.908,
128,128,32,57344,1,7.3,2f3530397e689c7abbd248d1,a663ad5af8c3330852d755ac311306a5795117451c36215075ab03fe0282b973,PASS,1073.6,1066.2,1080.6,1232.8,12501.51,12.502,
32,64,80,24576,0,7.7,f6f40973b58314607d0babe2,3ec66f172b3f105b1ec07d5389fb0de1c53bbfa4a47ca0299029c302ad15f4a2,PASS,2295.6,2274.9,2318.6,2493.8,5846.83,5.847,
64,32,80,29696,0,7.5,7eb876673e4c78927c0e0cb0,f822f6509271ea77773523a433ca20327d300af9faf646ba82cbf894b30c4273,PASS,2312.0,2279.3,2370.5,2559.9,5805.34,5.805,
64,128,80,57344,1,7.4,45738e4cb4bbe8e63be9c001,8569eaf824d7efccffaf6dd3edc43ff63c2ecda1b34de85390d7e270e204b88d,PASS,971.4,962.0,977.1,1082.0,13817.12,13.817,
128,16,80,47616,1,7.6,d86f620cec5398c72aab01de,6ef04f8623b5080cfe7fd3bccaed1dc183fb73d7add34ca5a6985bcd0d518379,PASS,2853.7,2829.5,2916.1,3123.4,4703.28,4.703,
16,64,64,14336,1,7.9,4e4ad0d03689c112df7bb407,855f24314e23ad43906f1548ff255095aff55f74be48132d3e6df933250c4396,PASS,4293.8,4262.0,4324.8,4610.1,3125.88,3.126,
32,32,64,14336,0,7.7,947369196778548733940f1a,41a971bf8b3581ca4c8f56fd418f8de34752756cb94875bd4b4b50fb41e55e55,PASS,4413.9,4387.8,4458.3,4737.6,3040.77,3.041,
