m,k,n,l1_bytes,new_to_sweep,wall_s,cache_key,xclbin_sha256,status,npu_us,npu_us_min,npu_us_max,e2e_us,gops,tops,round
128,64,64,57344,1,3.4,,,PASS,1118.1,1105.9,1126.3,1283.1,12003.66,12.004,0
64,128,80,57344,1,3.1,,,PASS,1056.1,1045.8,1080.1,1172.8,12708.31,12.708,0
64,128,64,49152,0,3.1,,,PASS,1048.8,1038.2,1055.8,1157.8,12796.66,12.797,0
128,128,32,57344,1,3.1,,,PASS,1113.3,1108.1,1122.6,1223.3,12055.72,12.056,0
128,64,64,57344,1,3.1,,,PASS,1082.7,1066.9,1127.7,1200.2,12397.09,12.397,1
64,128,80,57344,1,3.1,,,PASS,1043.4,1023.7,1060.0,1152.1,12864.09,12.864,1
64,128,64,49152,0,3.1,,,PASS,1042.4,1031.6,1049.7,1151.4,12876.1,12.876,1
128,128,32,57344,1,3.1,,,PASS,1190.1,1171.7,1246.1,1356.0,11277.62,11.278,1
128,64,64,57344,1,3.1,,,PASS,1092.6,1076.9,1100.0,1201.4,12284.14,12.284,2
64,128,80,57344,1,3.2,,,PASS,1046.4,1029.7,1086.3,1165.9,12827.12,12.827,2
64,128,64,49152,0,3.1,,,PASS,1043.6,1026.8,1072.5,1180.4,12860.77,12.861,2
128,128,32,57344,1,3.2,,,PASS,1188.2,1167.6,1255.5,1309.9,11295.55,11.296,2
128,64,64,57344,1,3.1,,,PASS,1079.0,1063.2,1148.1,1223.2,12439.36,12.439,3
64,128,80,57344,1,3.1,,,PASS,1044.2,1037.6,1048.4,1155.6,12853.32,12.853,3
64,128,64,49152,0,3.1,,,PASS,1043.4,1037.4,1050.9,1151.8,12863.6,12.864,3
128,128,32,57344,1,3.1,,,PASS,1179.0,1167.5,1187.6,1289.0,11384.27,11.384,3
128,64,64,57344,1,3.1,,,PASS,1082.2,1072.5,1091.4,1191.1,12402.51,12.403,4
64,128,80,57344,1,3.1,,,PASS,1042.7,1036.6,1049.2,1154.1,12872.53,12.873,4
64,128,64,49152,0,3.1,,,PASS,1042.7,1033.7,1051.0,1151.8,12872.39,12.872,4
128,128,32,57344,1,3.0,,,PASS,1172.3,1161.4,1237.0,1304.0,11449.23,11.449,4
