arm,wall_s,watts,gpu_busy_median,gpu_busy_max,gtt_gib_max,round,worker_pp512,worker_pp512_sd,worker_tg64,worker_tg64_sd,controller_pp2048,controller_pp2048_sd
A  gpu alone,12.44,83.5,92,100,57.8,0,290.54,0.0,12.29,0.0,,
ctrl-npu t4 alone,15.34,60.6,0,87,41.28,0,,,,,598.24,0.44
ctrl-npu t6 alone,12.33,71.8,0,0,41.28,0,,,,,750.37,0.9
ctrl-npu t8 alone,10.94,75.9,0.0,0,41.28,0,,,,,857.93,3.03
B  gpu + ctrl-cpu t8,15.26,114.8,94,100,57.8,0,224.08,0.0,11.35,0.0,527.01,25.43
C  gpu + ctrl-npu t4,18.53,92.9,64,100,57.8,0,250.73,0.0,11.34,0.0,487.93,90.98
D  gpu + ctrl-npu t6,15.76,102.4,88.5,100,57.8,0,243.44,0.0,11.14,0.0,564.14,97.7
E  gpu + ctrl-npu t8,14.63,105.5,92.5,99,57.8,0,236.45,0.0,11.03,0.0,599.49,75.36
A  gpu alone,12.27,88.4,94,100,57.8,1,288.0,0.0,12.3,0.0,,
ctrl-npu t4 alone,15.44,60.4,0,87,41.28,1,,,,,595.25,0.64
ctrl-npu t6 alone,12.49,74.5,0,0,41.28,1,,,,,738.97,9.01
ctrl-npu t8 alone,10.94,76.0,0.0,0,41.28,1,,,,,868.24,12.52
B  gpu + ctrl-cpu t8,15.44,115.1,94,99,57.8,1,221.84,0.0,11.31,0.0,523.64,30.02
C  gpu + ctrl-npu t4,18.53,94.6,63,100,57.8,1,249.33,0.0,11.33,0.0,490.21,91.61
D  gpu + ctrl-npu t6,15.83,101.9,88.0,100,57.8,1,242.69,0.0,11.18,0.0,563.99,102.59
E  gpu + ctrl-npu t8,14.51,106.7,96,99,57.8,1,236.63,0.0,10.99,0.0,604.48,85.4
A  gpu alone,12.75,87.3,92.0,100,57.8,2,288.5,0.0,12.29,0.0,,
ctrl-npu t4 alone,15.38,60.5,0,83,41.28,2,,,,,598.54,1.09
ctrl-npu t6 alone,12.34,71.3,0,0,41.28,2,,,,,753.05,2.11
ctrl-npu t8 alone,10.92,76.2,0.0,0,41.28,2,,,,,869.55,2.84
B  gpu + ctrl-cpu t8,15.34,115.0,93,100,57.8,2,220.09,0.0,11.37,0.0,525.77,37.04
C  gpu + ctrl-npu t4,18.56,92.9,59.5,100,57.8,2,250.73,0.0,11.35,0.0,488.06,91.82
D  gpu + ctrl-npu t6,15.91,101.7,87.5,99,57.8,2,243.24,0.0,11.18,0.0,563.47,106.1
E  gpu + ctrl-npu t8,14.75,105.5,94.0,99,57.8,2,235.94,0.0,11.07,0.0,605.27,99.95
