m     k     n     cols  NPU us     GFLOPS       result
32    32    16    8     5933.3     1131.06      PASS
32    32    32    8     3096.5     2167.28      PASS
32    32    64    8     1479.1     4537.21      PASS
32    32    80    8     1379.0     4866.55      PASS
32    64    16    8     6075.2     1104.63      PASS
32    64    32    8     3634.8     1846.28      PASS
32    64    64    8     1370.2     4897.69      PASS
32    64    80    8     1409.7     4760.64      PASS
32    128   16    8     5867.5     1143.74      PASS
32    128   32    8     2955.4     2270.70      PASS
32    128   64    8     1470.0     4565.25      PASS
32    128   80    8     1366.0     4912.95      PASS
32    256   16    8     6035.7     1111.87      PASS
32    256   32    8     3085.6     2174.89      PASS
32    256   64    8     -          -            COMPILE_FAIL
64    32    16    8     4238.3     1583.40      PASS
64    32    32    8     2149.4     3122.18      PASS
64    32    64    8     6999.5     958.76       PASS
64    32    80    8     6773.5     990.76       PASS
64    64    16    8     8659.4     774.99       PASS
64    64    32    8     7705.6     870.91       PASS
64    64    64    8     6759.5     992.80       PASS
64    64    80    8     773.4      8676.80      PASS
64    128   16    8     3337.2     2010.95      PASS
64    128   32    8     2075.9     3232.77      PASS
64    128   64    8     -          -            COMPILE_FAIL
64    256   16    8     3246.5     2067.14      PASS
64    256   32    8     -          -            COMPILE_FAIL
128   32    16    8     -          -            FAIL
128   32    32    8     -          -            FAIL
128   64    16    8     -          -            FAIL
128   64    32    8     -          -            FAIL
128   128   16    8     -          -            FAIL
32    32    16    4     9803.3     684.56       PASS
32    32    32    4     5024.7     1335.57      PASS
32    32    64    4     2568.4     2612.88      PASS
32    32    80    4     2239.5     2996.55      PASS
32    64    16    4     7916.3     847.73       PASS
32    64    32    4     4184.9     1603.60      PASS
32    64    64    4     2071.1     3240.26      PASS
32    64    80    4     1809.3     3709.10      PASS
32    128   16    4     7033.8     954.09       PASS
32    128   32    4     3628.3     1849.62      PASS
32    128   64    4     1870.6     3587.52      PASS
32    128   80    4     1637.8     4097.39      PASS
32    256   16    4     6603.0     1016.34      PASS
32    256   32    4     3470.0     1933.99      PASS
32    256   64    4     -          -            COMPILE_FAIL
64    32    16    4     8439.2     795.21       PASS
64    32    32    4     3745.1     1791.90      PASS
64    32    64    4     1829.9     3667.37      PASS
64    32    80    4     1763.1     3806.23      PASS
64    64    16    4     5076.3     1322.00      PASS
64    64    32    4     2689.7     2495.02      PASS
64    64    64    4     1656.6     4051.09      PASS
64    64    80    4     1183.1     5672.43      PASS
64    128   16    4     4248.7     1579.51      PASS
64    128   32    4     2290.2     2930.28      PASS
64    128   64    4     -          -            COMPILE_FAIL
64    256   16    4     3938.9     1703.76      PASS
64    256   32    4     -          -            COMPILE_FAIL
128   32    16    4     -          -            FAIL
128   32    32    4     -          -            FAIL
128   64    16    4     -          -            FAIL
128   64    32    4     -          -            FAIL
128   128   16    4     -          -            FAIL
