rep,bg_workers,threads,tiles,pp_tok_s,tg_tok_s,ttft_ms,total_ms,cores_used,cotenant_it_s
0,0,2,cpu,184.14,42.71,11122.0,11871.2,2,0.0
0,0,2,1,184.64,42.87,11091.9,11838.3,2,0.0
0,0,2,2,349.45,42.9,5860.6,6606.6,2,0.0
0,0,4,cpu,347.49,48.26,5893.7,6556.8,4,0.0
0,0,4,1,432.06,47.94,4740.1,5407.6,4,0.0
0,0,4,2,540.46,47.23,3789.4,4466.9,4,0.0
0,0,8,cpu,642.72,49.33,3186.5,3835.2,8,0.0
0,0,8,1,832.55,50.86,2459.9,3089.1,8,0.0
0,0,8,2,755.25,50.5,2711.7,3345.3,8,0.0
0,0,15,cpu,1015.07,83.87,2017.6,2399.1,15,0.0
0,0,15,1,1234.45,82.92,1659.0,2045.0,15,0.0
0,0,15,2,930.66,82.69,2200.6,2587.6,15,0.0
0,8,2,cpu,168.26,44.97,12171.6,12883.2,2,1192.3
0,8,2,1,169.8,41.84,12061.2,12826.1,2,1194.0
0,8,2,2,326.28,36.28,6276.8,7158.8,2,1193.2
0,8,4,cpu,314.69,51.69,6508.0,7127.1,4,1187.7
0,8,4,1,387.54,52.42,5284.6,5895.1,4,1184.8
0,8,4,2,492.27,38.07,4160.3,5000.9,4,1183.8
0,8,8,cpu,563.82,39.33,3632.4,4446.0,8,1179.2
0,8,8,1,717.28,39.53,2855.2,3664.7,8,1176.2
0,8,8,2,657.9,39.68,3112.9,3919.4,8,1174.9
0,8,15,cpu,600.79,55.45,3408.8,3985.9,15,1162.8
0,8,15,1,813.03,56.17,2519.0,3088.7,15,1154.5
0,8,15,2,728.37,57.74,2811.8,3366.0,15,1145.5
1,0,2,cpu,182.12,42.6,11245.3,11996.5,2,0.0
1,0,2,1,182.5,42.77,11221.9,11970.1,2,0.0
1,0,2,2,348.33,43.44,5879.5,6616.1,2,0.0
1,0,4,cpu,348.57,47.48,5875.4,6549.4,4,0.0
1,0,4,1,429.92,47.44,4763.7,5438.2,4,0.0
1,0,4,2,539.24,47.03,3797.9,4478.4,4,0.0
1,0,8,cpu,639.79,50.46,3201.1,3835.2,8,0.0
1,0,8,1,832.4,49.14,2460.4,3111.6,8,0.0
1,0,8,2,750.92,53.14,2727.3,3329.5,8,0.0
1,0,15,cpu,1019.48,82.95,2008.9,2394.6,15,0.0
1,0,15,1,1225.12,83.0,1671.7,2057.2,15,0.0
1,0,15,2,925.37,82.89,2213.2,2599.2,15,0.0
1,8,2,cpu,170.75,35.68,11994.1,12891.0,2,1180.2
1,8,2,1,170.4,35.95,12018.8,12908.9,2,1180.8
1,8,2,2,319.27,43.82,6414.6,7144.9,2,1180.2
1,8,4,cpu,316.96,38.08,6461.4,7301.7,4,1175.2
1,8,4,1,386.95,38.06,5292.7,6133.5,4,1172.3
1,8,4,2,494.58,38.03,4140.9,4982.3,4,1171.3
1,8,8,cpu,562.61,39.17,3640.2,4457.1,8,1166.8
1,8,8,1,717.17,49.95,2855.7,3496.3,8,1163.7
1,8,8,2,660.32,57.16,3101.5,3661.4,8,1162.2
1,8,15,cpu,611.0,59.77,3351.9,3887.3,15,1150.3
1,8,15,1,841.7,55.81,2433.2,3006.5,15,1140.0
1,8,15,2,719.03,55.83,2848.3,3421.5,15,1133.4
