tok_s,dispatches,device_ms,wall_s,rep,prompt,ub,threads,mode,bg_load,cpu_mhz,temp_c
1025.12,0,0.0,8.410627126693726,1,2048,2048,15,cpu,3.21,2450.0,53.75
1232.22,1284,1625.4,8.197232007980347,1,2048,2048,15,hybrid,5.03,2869.0,54.0
639.72,0,0.0,13.002521276473999,1,2048,2048,8,cpu,5.48,2413.0,67.625
839.66,1284,1491.0,10.91873288154602,1,2048,2048,8,hybrid,5.57,3004.0,65.75
1017.96,0,0.0,8.372567892074585,2,2048,2048,15,cpu,6.32,3324.0,59.625
1216.17,1284,1628.8,8.222665548324585,2,2048,2048,15,hybrid,7.58,2761.0,60.0
637.27,0,0.0,13.072327613830566,2,2048,2048,8,cpu,7.82,2646.0,71.0
840.55,1284,1495.5,10.910786151885986,2,2048,2048,8,hybrid,7.85,2747.0,69.875
1023.85,0,0.0,8.33554720878601,3,2048,2048,15,cpu,8.42,2422.0,62.25
1211.62,1284,1617.9,8.249910116195679,3,2048,2048,15,hybrid,9.44,2484.0,63.375
641.92,0,0.0,13.007895469665527,3,2048,2048,8,cpu,9.27,2224.0,73.375
830.7,1284,1487.6,11.043083190917969,3,2048,2048,8,hybrid,9.14,2691.0,70.75
