prompt,ub,threads,mode,tok_s,n_micro_batches,mb_pos,category,cpu_ms,npu_ms,count,span_ms,npu_eligible
3968,2048,15,hybrid,773.47,2,0,attention,600.72,0.0,30,2202.9,0
3968,2048,15,hybrid,773.47,2,0,ffn_up,160.6,201.72,30,2202.9,1
3968,2048,15,hybrid,773.47,2,0,ffn_down,158.9,201.91,30,2202.9,1
3968,2048,15,hybrid,773.47,2,0,ffn_gate,151.43,202.13,30,2202.9,1
3968,2048,15,hybrid,773.47,2,0,attn_out_proj,66.95,72.33,30,2202.9,1
3968,2048,15,hybrid,773.47,2,0,attn_q_proj,67.77,69.23,30,2202.9,1
3968,2048,15,hybrid,773.47,2,0,norm,86.37,0.0,121,2202.9,0
3968,2048,15,hybrid,773.47,2,0,ffn_activation,46.81,0.0,30,2202.9,0
3968,2048,15,hybrid,773.47,2,0,attn_k_proj,37.48,0.0,30,2202.9,0
3968,2048,15,hybrid,773.47,2,0,attn_v_proj,36.96,0.0,30,2202.9,0
3968,2048,15,hybrid,773.47,2,0,rope,15.43,0.0,60,2202.9,0
3968,2048,15,hybrid,773.47,2,0,residual_add,15.1,0.0,60,2202.9,0
3968,2048,15,hybrid,773.47,2,0,lm_head,5.57,0.0,1,2202.9,0
3968,2048,15,hybrid,773.47,2,0,kv_cache_write,2.58,0.0,60,2202.9,0
3968,2048,15,hybrid,773.47,2,0,embedding,0.32,0.0,3,2202.9,0
3968,2048,15,hybrid,773.47,2,1,attention,1363.93,0.0,30,2924.7,0
3968,2048,15,hybrid,773.47,2,1,ffn_up,154.29,199.91,30,2924.7,1
3968,2048,15,hybrid,773.47,2,1,ffn_down,151.13,201.52,30,2924.7,1
3968,2048,15,hybrid,773.47,2,1,ffn_gate,145.59,199.91,30,2924.7,1
3968,2048,15,hybrid,773.47,2,1,attn_out_proj,64.44,71.48,30,2924.7,1
3968,2048,15,hybrid,773.47,2,1,attn_q_proj,64.51,68.27,30,2924.7,1
3968,2048,15,hybrid,773.47,2,1,norm,81.27,0.0,121,2924.7,0
3968,2048,15,hybrid,773.47,2,1,ffn_activation,43.76,0.0,30,2924.7,0
3968,2048,15,hybrid,773.47,2,1,attn_k_proj,36.79,0.0,30,2924.7,0
