rep,prompt,ub,threads,async_on,tok_s,stage_out_ms,device_ms
1,2048,2048,15,0,1235.61,666.6,1609.3
1,2048,2048,15,1,1279.91,692.3,1623.4
1,3968,2048,15,0,972.52,1346.8,3237.2
1,3968,2048,15,1,1007.33,1435.2,3257.1
1,2048,1024,15,0,927.14,1322.7,3000.0
1,2048,1024,15,1,1002.7,1369.7,3006.7
2,2048,2048,15,0,1234.62,665.1,1613.1
2,2048,2048,15,1,1266.26,699.2,1637.3
2,3968,2048,15,0,980.81,1341.1,3230.6
2,3968,2048,15,1,1004.75,1419.5,3269.3
2,2048,1024,15,0,923.04,1334.3,2997.3
2,2048,1024,15,1,1014.29,1334.1,2987.6
3,2048,2048,15,0,1221.91,665.5,1620.5
3,2048,2048,15,1,1262.46,711.2,1630.8
3,3968,2048,15,0,964.7,1393.1,3248.1
3,3968,2048,15,1,1005.47,1417.2,3278.5
3,2048,1024,15,0,920.94,1359.2,2995.7
3,2048,1024,15,1,989.7,1388.1,3001.5
4,2048,2048,15,0,1219.29,676.7,1625.6
4,2048,2048,15,1,1255.73,725.9,1632.8
4,3968,2048,15,0,975.37,1317.6,3273.6
4,3968,2048,15,1,1011.89,1383.6,3275.1
4,2048,1024,15,0,923.33,1345.6,2976.1
4,2048,1024,15,1,1001.23,1398.1,2982.4
5,2048,2048,15,0,1214.1,690.2,1621.8
5,2048,2048,15,1,1256.49,709.2,1631.3
5,3968,2048,15,0,973.49,1333.6,3252.2
5,3968,2048,15,1,1001.01,1439.3,3268.3
5,2048,1024,15,0,920.04,1331.0,2970.2
5,2048,1024,15,1,1001.09,1372.1,3005.1
