cell,threads,concurrency,ne11_nodes_seen,ne11_nodes_worth,ne11_nodes_offloaded,ne11_declined_shape,ne11_declined_small,ne11_offloaded_hist,ne11_max_offloaded_bucket,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac,slots_total,slots_samples,slots_busy_mean,slots_busy_max,slots_busy_p50,slots_busy_p95,slots_all_idle_frac,watts,gpu_busy_med,b,ub,slots,requests,errors,wall_s,req_per_s,ttft_p50,ttft_p95,total_p50,total_p95,prompt_ms_mean,gen_ms_mean,mode,prompt_ms_max,prompt_n_total
b2048-ub2048-np1-c1,8,1,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8199425375,0,169330715,0,0.0,6925.19,0.0,1,106,0.83,1,1,1,0.17,94.9,0.0,2048,2048,1,8,0,23.18,0.345,2340.13,2377.63,2897.2,2930.06,2339.0,555.6,independent,,
b2048-ub2048-np2-c1,8,1,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8303201520,0,20617428,0,0.0,7012.839,0.0,2,103,0.835,1,1,1,0.165,93.2,0.0,2048,2048,2,8,0,23.36,0.343,2368.47,2394.93,2939.66,2949.96,2358.1,558.9,independent,,
b2048-ub2048-np2-c2,8,2,28560,1656,1176,480,26904,1024:1176,1024,1184,1184,0,0,8060345864,0,20617428,0,0.0,6807.725,0.0,2,84,1.524,2,2,2,0.202,95.6,0.0,2048,2048,2,8,0,22.29,0.359,4698.69,4761.45,5567.93,5615.95,2660.3,2017.8,independent,,
b2048-ub2048-np2-ORACLE2,8,2,7350,414,294,120,6936,1024:294,1024,288,288,0,0,1847987455,0,20617428,0,0.0,6416.623,0.0,2,36,0.917,2,0,2,0.528,86.8,0,2048,2048,2,2,0,5.61,0.357,,,5606.0,,3616.7,,multiprompt,4748.7,3908
b2048-ub2048-np8-c1,8,1,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8284001989,0,20919730,0,0.0,6996.623,0.0,8,103,0.854,1,1,1,0.146,92.8,0.0,2048,2048,8,8,0,23.33,0.343,2356.42,2389.84,2921.91,2956.43,2347.0,567.1,independent,,
b2048-ub2048-np8-c2,8,2,28770,1656,1176,480,27114,1024:1176,1024,1184,1184,0,0,7951900857,0,20919730,0,0.0,6716.132,0.0,8,80,1.625,2,2,2,0.15,96.0,0.0,2048,2048,8,8,0,22.48,0.356,4725.1,4799.19,5629.87,5650.59,2995.6,2018.3,independent,,
b2048-ub2048-np8-c4,8,4,17640,1656,1176,480,15984,1024:1176,1024,1184,1184,0,0,7851583916,0,20919730,0,0.0,6631.405,0.0,8,53,2.623,4,4,4,0.283,96.0,0.0,2048,2048,8,8,0,21.32,0.375,4829.0,9615.45,10637.34,15468.6,3336.6,5485.5,independent,,
b2048-ub2048-np8-ORACLE2,8,2,7350,414,294,120,6936,1024:294,1024,288,288,0,0,1858415960,0,20919730,0,0.0,6452.833,0.0,8,35,0.943,2,0,2,0.514,87.4,0,2048,2048,8,2,0,5.63,0.355,,,5632.2,,3624.1,,multiprompt,4774.2,3908
b2048-ub2048-np8-ORACLE4,8,4,8610,828,588,240,7782,1024:588,1024,576,576,0,0,2925622185,0,20919730,0,0.0,5079.205,0.0,8,33,2.182,4,4,4,0.424,94.4,0.0,2048,2048,8,4,0,10.34,0.387,,,10338.2,,4147.6,,multiprompt,4905.6,7816
b4096-ub4096-np1-c1,8,1,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8328570413,0,24711678,0,0.0,7034.266,0.0,1,101,0.871,1,1,1,0.129,93.3,0.0,4096,4096,1,8,0,23.45,0.341,2363.8,2417.57,2931.2,2974.05,2360.8,567.5,independent,,
b4096-ub4096-np2-c1,8,1,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8276889960,0,20979777,0,0.0,6990.617,0.0,2,103,0.854,1,1,1,0.146,92.3,0.0,4096,4096,2,8,0,23.31,0.343,2346.53,2397.76,2912.43,2970.8,2343.6,566.8,independent,,
b4096-ub4096-np2-c2,8,2,26880,828,588,240,26052,2048:588,2048,576,576,0,0,5861245954,0,34962403,0,0.0,10175.774,0.0,2,80,1.613,2,2,2,0.188,91.4,0.0,4096,4096,2,8,0,20.31,0.394,4231.92,4237.99,5086.42,5100.88,4210.4,856.9,independent,,
b4096-ub4096-np2-ORACLE2,8,2,6720,207,147,60,6513,2048:147,2048,160,160,0,0,1633071781,0,34962403,0,0.0,10206.699,0.0,2,36,0.889,2,0,2,0.556,81.9,0.0,4096,4096,2,2,0,5.07,0.394,,,5072.9,,4191.8,,multiprompt,4191.9,3908
b4096-ub4096-np8-c1,8,1,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,8315961197,0,25436657,0,0.0,7023.616,0.0,8,101,0.871,1,1,1,0.129,93.6,0.0,4096,4096,8,8,0,23.42,0.342,2357.86,2416.46,2925.03,2980.54,2356.6,567.6,independent,,
b4096-ub4096-np8-c2,8,2,26880,828,588,240,26052,2048:588,2048,576,576,0,0,5899765751,0,35450057,0,0.0,10242.649,0.0,8,77,1.675,2,2,2,0.156,91.4,0.0,4096,4096,8,8,0,20.51,0.39,4251.65,4266.37,5124.07,5166.19,4219.9,897.2,independent,,
b4096-ub4096-np8-c4,8,4,15540,1242,882,360,14298,1024:588;2048:294,2048,896,896,0,0,6991780804,0,35450057,0,0.0,7803.327,0.0,8,48,2.771,4,4,4,0.25,94.3,0.0,4096,4096,8,8,0,20.49,0.39,6850.55,9106.03,10271.59,14826.43,4568.9,4467.3,independent,,
b4096-ub4096-np8-ORACLE2,8,2,6720,207,147,60,6513,2048:147,2048,160,160,0,0,1605005736,0,35450057,0,0.0,10031.286,0.0,8,36,0.889,2,0,2,0.556,82.6,0.0,4096,4096,8,2,0,5.06,0.395,,,5057.0,,4161.5,,multiprompt,4161.6,3908
b4096-ub4096-np8-ORACLE4,8,4,7560,414,294,120,7146,2048:294,2048,288,288,0,0,2924501457,0,35450057,0,0.0,10154.519,0.0,8,35,1.886,4,0,4,0.514,85.6,0.0,4096,4096,8,4,0,10.16,0.394,,,10156.2,,5704.6,,multiprompt,9068.7,7816
