t,tb,phase,worker_prompt_tokens,worker_n_predict,requests,req_per_s,ttft_p50,ttft_p95,total_p50,total_p95,watts,gpu_busy_med,gpu_reqs,ne11_nodes_seen,ne11_nodes_worth,ne11_nodes_offloaded,ne11_declined_shape,ne11_declined_small,ne11_offloaded_hist,ne11_max_offloaded_bucket,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac,verifier_ops,verifier_wall_s,verifier_ops_per_s,verifier_p50_ms,verifier_p95_ms,verifier_p99_ms,gpu_prompt_tok_s,gpu_gen_tok_s,gpu_prompt_n_mean
4,16,idle,0,0,10,0.598,1517.51,1530.54,1674.22,1692.74,113.2,0,0,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,5702041805,0,170227376,0,0.0,3873.67,0.0,20375,17.54,1161.3,0.81,1.235,1.7,,,
4,16,prefill-2k,2048,4,10,0.447,1993.61,2146.13,2217.2,2369.77,119.9,99.0,5,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,8128953097,0,170227376,0,0.0,5522.387,0.0,31582,30.5,1035.5,0.915,1.457,2.109,260.9,14.37,1514
4,16,prefill-8k,8192,4,10,0.454,1957.44,2141.51,2183.24,2359.09,120.0,100,2,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,7935033727,0,170227376,0,0.0,5390.648,0.0,48874,44.4,1100.7,0.851,1.339,1.934,271.6,14.54,5952
4,16,decode,256,256,10,0.343,2545.65,2618.65,2963.65,3031.31,120.0,99,2,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,10447025436,0,170227376,0,0.0,7097.164,0.0,49697,44.91,1106.7,0.848,1.384,2.071,217.1,11.04,224
6,16,idle,0,0,10,0.607,1514.87,1519.02,1647.91,1659.44,115.3,0.0,0,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,5688273745,0,166576133,0,0.0,3864.316,0.0,19466,17.05,1142.0,0.823,1.258,1.721,,,
6,16,prefill-2k,2048,4,10,0.464,1944.18,2140.27,2132.93,2338.98,119.9,99.0,5,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,7717489016,0,166576133,0,0.0,5242.859,0.0,30755,30.8,998.5,0.931,1.601,2.203,257.6,14.36,1514
6,16,prefill-8k,8192,4,10,0.456,2013.81,2081.34,2205.57,2271.09,120.0,100,2,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,8142391242,0,166576133,0,0.0,5531.516,0.0,48535,44.73,1085.0,0.874,1.344,1.916,269.6,14.36,5952
6,16,decode,256,256,10,0.351,2492.65,2612.78,2882.46,3006.57,120.0,99.0,2,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,10388703883,0,166576133,0,0.0,7057.543,0.0,44261,42.11,1051.0,0.865,1.6,2.386,214.0,10.95,224
8,16,idle,0,0,10,0.607,1520.71,1532.73,1648.9,1659.71,115.8,0.0,0,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,5715975857,0,171818889,0,0.0,3883.136,0.0,19244,17.04,1129.4,0.828,1.292,1.752,,,
8,16,prefill-2k,2048,4,10,0.474,1908.92,2001.24,2136.09,2226.35,119.9,99,5,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,7604114918,0,171818889,0,0.0,5165.839,0.0,31982,31.08,1029.0,0.914,1.519,2.135,255.7,14.43,1514
8,16,prefill-8k,8192,4,10,0.481,1872.98,2040.75,2047.16,2244.93,119.9,100,2,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,7424230362,0,171818889,0,0.0,5043.635,0.0,49602,45.1,1099.9,0.853,1.379,1.982,267.4,14.47,5952
8,16,decode,256,256,10,0.354,2505.89,2660.43,2877.0,3027.71,119.9,99.0,2,16800,2070,1470,600,14730,1024:1470,1024,1472,1472,0,0,10422695005,0,171818889,0,0.0,7080.635,0.0,53239,48.36,1100.9,0.864,1.387,2.073,215.9,11.1,224
