cell,threads,concurrency,n_predict,requests,errors,wall_s,req_per_s,ttft_p50,ttft_p95,total_p50,total_p95,prompt_ms_mean,gen_ms_mean,watts,gpu_busy_med,ne11_nodes_seen,ne11_nodes_worth,ne11_nodes_offloaded,ne11_declined_shape,ne11_declined_small,ne11_offloaded_hist,ne11_max_offloaded_bucket,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac,slots_total,slots_samples,slots_busy_mean,slots_busy_max,slots_busy_p50,slots_busy_p95,slots_all_idle_frac,b,ub,slots,tb
npred1-c1,8,1,1,8,0,19.02,0.421,2370.28,2449.37,2370.54,2449.62,2374.6,,95.8,0,1680,1656,1176,480,24,1024:1176,1024,1184,1184,0,0,8374488344,0,156402902,0,0.0,7073.048,0.0,8,19,0.0,0,0,0,1.0,4096,4096,8,
npred1-c2,8,2,1,8,0,16.91,0.473,4222.9,4263.5,4223.22,4263.82,4216.5,,90.2,0,840,828,588,240,12,2048:588,2048,576,576,0,0,5881074276,0,156402902,0,0.0,10210.198,0.0,8,17,0.0,0,0,0,1.0,4096,4096,8,
npred1-c4,8,4,1,8,0,16.79,0.477,8398.26,8399.83,8398.86,8400.57,4194.8,,90.0,0,840,828,588,240,12,2048:588,2048,608,608,0,0,6205464188,0,156402902,0,0.0,10206.356,0.0,8,19,0.0,0,0,0,1.0,4096,4096,8,
npred4-c1,8,1,4,8,0,19.59,0.408,2388.62,2484.14,2442.61,2538.71,2390.8,54.8,95.0,0.0,6720,1656,1176,480,5064,1024:1176,1024,1184,1184,0,0,8452395338,0,156402902,0,0.0,7138.847,0.0,8,25,0.32,1,0,1,0.68,4096,4096,8,
npred4-c2,8,2,4,8,0,17.86,0.448,4267.99,4786.37,4357.11,4861.29,3773.2,384.8,91.0,0,3780,1035,735,300,2745,1024:294;2048:441,2048,736,736,0,0,6608170726,0,156402902,0,0.0,8978.493,0.0,8,23,0.696,2,0,2,0.609,4096,4096,8,
npred4-c4,8,4,4,8,0,18.36,0.436,6741.7,8922.7,9304.73,13709.2,4535.6,3460.6,92.1,0.0,3780,1242,882,360,2538,1024:588;2048:294,2048,864,864,0,0,6642039037,0,156402902,0,0.0,7687.545,0.0,8,22,0.955,4,0,4,0.636,4096,4096,8,
npred8-c1,8,1,8,8,0,20.03,0.399,2377.72,2411.54,2513.63,2538.09,2373.3,128.4,94.8,0,13440,1656,1176,480,11784,1024:1176,1024,1184,1184,0,0,8392820754,0,156402902,0,0.0,7088.531,0.0,8,35,0.686,1,1,1,0.314,4096,4096,8,
npred8-c2,8,2,8,8,0,17.69,0.452,4218.01,4276.69,4427.47,4491.42,4205.3,206.2,89.2,0,6720,828,588,240,5892,2048:588,2048,576,576,0,0,5856419572,0,156402902,0,0.0,10167.395,0.0,8,35,0.943,2,0,2,0.514,4096,4096,8,
npred8-c4,8,4,8,8,0,18.05,0.443,8526.56,9032.32,9244.39,9273.64,4972.0,2402.9,89.4,0,4620,828,588,240,3792,2048:588,2048,608,608,0,0,6220474104,0,156402902,0,0.0,10231.043,0.0,8,20,1.7,4,2,4,0.5,4096,4096,8,
npred32-c1,8,1,32,8,0,23.43,0.341,2374.6,2384.53,2934.26,2958.42,2365.4,561.1,93.5,0.0,53760,1656,1176,480,52104,1024:1176,1024,1152,1152,0,0,8050780777,0,156402902,0,0.0,6988.525,0.0,8,100,0.87,1,1,1,0.13,4096,4096,8,
npred32-c2,8,2,32,8,0,20.95,0.382,4232.95,4764.37,5121.06,5621.52,3764.8,1164.1,92.8,0,27300,1035,735,300,26265,1024:294;2048:441,2048,736,736,0,0,6518675610,0,156402902,0,0.0,8856.896,0.0,8,78,1.641,2,2,2,0.167,4096,4096,8,
npred32-c4,8,4,32,8,0,19.2,0.417,8497.5,8523.23,9603.77,9633.22,4254.2,3222.7,91.5,0.0,14280,828,588,240,13452,2048:588,2048,608,608,0,0,6258939818,0,156402902,0,0.0,10294.309,0.0,8,51,2.51,4,4,4,0.333,4096,4096,8,
