cell,threads,concurrency,n_predict,requests,errors,wall_s,req_per_s,ttft_p50,ttft_p95,total_p50,total_p95,prompt_ms_mean,gen_ms_mean,watts,gpu_busy_med,ne11_nodes_seen,ne11_nodes_worth,ne11_nodes_offloaded,ne11_declined_shape,ne11_declined_small,ne11_offloaded_hist,ne11_max_offloaded_bucket,lease_acquisitions,lease_immediate,lease_waited,lease_wait_ns,lease_hold_ns,lease_wait_max_ns,lease_hold_max_ns,lease_waiters_max,lease_wait_mean_us,lease_hold_mean_us,lease_contended_frac,slots_total,slots_samples,slots_busy_mean,slots_busy_max,slots_busy_p50,slots_busy_p95,slots_all_idle_frac,b,ub,slots,tb,t
t4-tb12-c1,4,1,32,8,0,19.62,0.408,1774.53,1791.64,2467.95,2491.48,1755.9,693.5,105.4,0.0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,5743081641,0,150883324,0,0.0,4850.576,0.0,8,100,0.89,1,1,1,0.11,4096,4096,8,12,4
t4-tb12-c2,4,2,32,8,0,17.03,0.47,3474.39,3510.12,4275.0,4315.88,3448.2,800.4,106.2,0,26880,828,588,240,26052,2048:588,2048,576,576,0,0,5672546246,0,150883324,0,0.0,9848.171,0.0,8,65,1.538,2,2,2,0.231,4096,4096,8,12,4
t6-tb16-c1,6,1,32,8,0,16.57,0.483,1465.4,1495.19,2076.44,2102.4,1464.7,604.4,108.9,0.0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,4627584430,0,22520626,0,0.0,3908.433,0.0,8,98,0.898,1,1,1,0.102,4096,4096,8,16,6
t6-tb16-c2,6,2,32,8,0,14.52,0.551,2825.44,2883.69,3647.38,3668.81,2475.8,961.5,115.7,0.0,27300,1035,735,300,26265,1024:294;2048:441,2048,736,736,0,0,4484519485,0,24487817,0,0.0,6093.097,0.0,8,60,1.567,2,2,2,0.2,4096,4096,8,16,6
t4-tb16-c1,4,1,32,8,0,16.97,0.471,1440.74,1460.11,2127.04,2153.88,1439.6,679.1,104.9,0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,4519868968,0,20595196,0,0.0,3817.457,0.0,8,101,0.871,1,1,1,0.129,4096,4096,8,16,4
t4-tb16-c2,4,2,32,8,0,14.65,0.546,2889.52,2990.62,3671.51,3767.8,2513.4,959.7,113.2,0,27300,1035,735,300,26265,1024:294;2048:441,2048,736,736,0,0,4527635216,0,23773658,0,0.0,6151.678,0.0,8,66,1.348,2,2,2,0.303,4096,4096,8,16,4
t8-tb16-c1,8,1,32,8,0,15.87,0.504,1457.12,1469.58,1987.59,2009.13,1448.4,533.3,110.6,0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,4572200624,0,22602275,0,0.0,3861.656,0.0,8,90,0.822,1,1,1,0.178,4096,4096,8,16,8
t8-tb16-c2,8,2,32,8,0,14.56,0.55,2832.72,2935.03,3639.34,3710.26,2485.7,958.9,116.0,0.0,27300,1035,735,300,26265,1024:294;2048:441,2048,736,736,0,0,4465804111,0,27182331,0,0.0,6067.669,0.0,8,58,1.534,2,2,2,0.224,4096,4096,8,16,8
t6-tb24-c1,6,1,32,8,0,16.55,0.483,1488.28,1490.22,2069.54,2077.55,1483.6,582.9,109.4,0.0,53760,1656,1176,480,52104,1024:1176,1024,1184,1184,0,0,5124267090,0,23007960,0,0.0,4327.928,0.0,8,99,0.889,1,1,1,0.111,4096,4096,8,24,6
t6-tb24-c2,6,2,32,8,0,14.59,0.548,2905.79,2908.55,3657.04,3666.67,2883.8,753.4,116.5,0.0,26880,828,588,240,26052,2048:588,2048,576,576,0,0,4922077929,0,27322445,0,0.0,8545.274,0.0,8,55,1.618,2,2,2,0.182,4096,4096,8,24,6
