t_s,ctrl_rss_mib,work_rss_mib,gtt_gib,gpu_busy,degC
0,2770.9,3029.6,58.41,0,41.5
5,5066.6,3029.6,58.41,0,42.5
10,5066.4,3029.6,58.41,96,43.5
15,5066.4,3029.6,58.41,100,43.5
20,5223.0,3029.6,58.41,30,45.0
25,5222.7,2880.0,58.41,33,45.5
30,5222.7,3029.6,58.41,99,46.5
35,5222.7,3029.6,58.41,99,46.5
40,5223.6,3029.6,58.41,4,47.5
45,5223.4,3029.6,58.41,90,48.0
50,5223.4,3029.6,58.41,99,49.0
55,5224.2,3029.6,58.41,83,49.0
60,5224.2,3029.6,58.41,1,49.5
65,5224.0,3029.6,58.41,98,49.5
70,5224.0,3029.6,58.41,99,50.5
75,5224.9,3029.6,58.41,11,51.0
80,5224.7,3029.6,58.41,77,51.0
85,5224.7,3029.6,58.41,99,52.0
90,5224.7,3029.6,58.41,99,52.0
95,5225.5,3029.6,58.41,1,52.0
100,5225.3,3029.6,58.41,97,53.0
105,5225.3,3029.6,58.41,99,53.0
110,5226.2,3029.6,58.41,23,53.0
115,5226.0,2880.0,58.41,45,53.0
120,5226.0,3029.6,58.41,99,53.5
125,5226.0,3029.6,58.41,99,53.5
130,5226.8,3029.6,58.41,3,53.5
135,5226.6,3029.6,58.41,91,54.5
140,5226.6,3029.6,58.41,99,54.5
145,5227.5,3029.6,58.41,69,55.0
150,5227.4,3029.6,58.41,0,54.5
155,5227.3,3029.6,58.41,98,55.0
160,5227.3,3029.6,58.41,99,54.5
165,5228.1,3029.6,58.41,10,55.0
170,5227.9,3029.6,58.41,77,56.0
175,5227.9,3029.6,58.41,99,55.0
180,5227.9,3029.6,58.41,99,56.0
185,5228.8,3029.6,58.41,1,56.0
190,5228.6,3029.6,58.41,96,56.0
195,5228.6,3029.6,58.41,99,56.0
200,5229.4,3029.6,58.41,26,56.5
205,5229.2,2880.0,58.41,42,56.0
210,5229.2,3029.6,58.41,99,56.0
215,5229.2,3029.6,58.41,99,56.5
220,5230.1,3029.6,58.41,4,56.0
225,5229.9,3029.6,58.41,92,56.5
230,5229.9,3029.6,58.41,99,56.5
235,5230.7,3029.6,58.41,69,56.5
240,5230.5,3029.6,58.41,0,56.5
245,5230.5,3029.6,58.41,98,56.5
250,5230.5,3029.6,58.41,99,56.5
255,5231.4,3029.6,58.41,9,57.5
260,5231.2,3029.6,58.41,78,57.5
265,5231.2,3029.6,58.41,99,57.5
270,5231.2,3029.6,58.41,99,57.5
275,5231.7,3029.6,58.41,1,57.5
280,5231.5,3029.6,58.41,96,57.5
285,5231.5,3029.6,58.41,99,57.5
290,5231.7,3029.6,58.41,28,57.5
295,5231.5,2880.0,58.41,39,57.5
300,5231.5,3029.6,58.41,99,57.5
305,5231.5,3029.6,58.41,99,57.5
310,5231.8,3029.6,58.41,4,57.5
315,5231.6,3029.6,58.41,91,57.5
320,5231.6,3029.6,58.41,99,57.5
325,5231.8,3029.6,58.41,73,57.5
330,5231.7,3029.6,58.41,0,57.5
335,5231.6,3029.6,58.41,98,58.5
340,5231.6,3029.6,58.41,99,58.5
345,5231.9,3029.6,58.41,11,58.5
350,5231.6,3029.6,58.41,73,57.5
355,5231.6,3029.6,58.41,99,57.5
360,5231.6,3029.6,58.41,99,58.5
365,5231.9,3029.6,58.41,2,58.5
370,5231.7,3029.6,58.41,96,58.5
375,5231.7,3029.6,58.41,99,58.5
380,5231.9,3029.6,58.41,33,58.5
385,5231.7,2880.0,58.41,29,58.5
390,5231.7,3029.6,58.41,99,58.5
395,5231.7,3029.6,58.41,99,58.5
400,5232.0,3029.6,58.41,4,58.5
405,5231.8,3029.6,58.41,90,58.5
410,5231.8,3029.6,58.41,99,58.5
415,5232.0,3029.6,58.41,85,59.0
420,5231.9,3029.6,58.41,1,58.5
425,5231.8,3029.6,58.41,98,58.5
430,5231.8,3029.6,58.41,99,58.5
435,5232.1,3029.6,58.41,11,58.5
440,5231.8,3029.6,58.41,71,58.5
445,5231.8,3029.6,58.41,99,58.5
450,5231.8,3029.6,58.41,99,58.5
455,5232.1,3029.7,58.41,2,59.0
460,5231.9,3029.7,58.41,95,58.5
465,5231.9,3029.7,58.41,99,59.0
470,5232.1,3029.7,58.41,35,58.5
475,5231.9,2880.0,58.41,24,58.5
480,5231.9,3029.7,58.41,99,58.5
485,5231.9,3029.7,58.41,99,59.0
490,5232.2,3029.7,58.41,5,59.0
495,5231.9,3029.7,58.41,88,58.5
500,5231.9,3029.7,58.41,99,58.5
505,5232.1,3029.7,58.41,99,59.0
510,5232.1,3029.7,58.41,1,59.0
515,5232.0,3029.7,58.41,98,59.0
520,5232.0,3029.7,58.41,99,58.5
525,5232.3,3029.7,58.41,13,59.0
530,5232.0,3029.7,58.41,66,59.0
535,5232.0,3029.7,58.41,99,58.5
540,5232.0,3029.7,58.41,99,59.0
545,5232.3,3029.7,58.41,2,59.0
550,5232.1,3029.7,58.41,95,58.5
555,5232.1,3029.7,58.41,99,59.0
560,5232.3,3029.7,58.41,42,59.0
565,5232.1,2880.0,58.41,8,59.0
570,5232.1,3029.7,58.41,99,58.5
575,5232.1,3029.7,58.41,99,59.0
580,5232.3,3029.7,58.41,6,59.0
585,5232.1,3029.7,58.41,84,59.0
590,5232.1,3029.7,58.41,99,59.0
595,5232.1,3029.7,58.41,99,59.0
600,5232.3,3029.7,58.41,1,59.0
605,5232.1,3029.7,58.41,97,58.5
610,5232.1,3029.7,58.41,99,59.0
615,5232.3,3029.7,58.41,19,59.0
620,5232.1,3029.7,58.41,55,59.0
625,5232.1,3029.7,58.41,99,59.0
630,5232.1,3029.7,58.41,99,59.0
635,5232.3,3029.7,58.41,3,59.0
640,5232.1,3029.7,58.41,93,59.0
645,5232.1,3029.7,58.41,99,59.0
650,5232.3,3029.7,58.41,54,59.0
655,5232.2,3029.7,58.41,0,59.0
660,5232.1,3029.7,58.41,99,59.0
665,5232.1,3029.7,58.41,99,59.0
670,5232.3,3029.7,58.41,7,59.0
675,5232.1,3029.7,58.41,83,59.0
680,5232.1,3029.7,58.41,99,59.0
685,5232.1,3029.7,58.41,99,59.0
690,5232.3,3029.7,58.41,1,59.0
695,5232.1,3029.7,58.41,97,59.0
700,5232.1,3029.7,58.41,99,59.0
705,5232.3,3029.7,58.41,22,59.0
710,5232.1,2880.0,58.41,47,59.0
715,5232.1,3029.7,58.41,99,59.0
720,5232.1,3029.7,58.41,99,59.0
725,5232.3,3029.7,58.41,3,59.0
730,5232.1,3029.7,58.41,91,59.0
735,5232.1,3029.7,58.41,99,59.0
740,5232.3,3029.7,58.41,78,59.0
745,5232.2,3029.7,58.41,1,59.0
750,5232.1,3029.7,58.41,98,59.0
755,5232.1,3029.7,58.41,99,59.0
760,5232.3,3029.7,58.41,11,59.0
765,5232.1,3029.7,58.41,73,59.0
770,5232.1,3029.7,58.41,99,59.0
775,5232.1,3029.7,58.41,99,59.0
780,5232.3,3029.7,58.41,2,59.0
785,5232.1,3029.7,58.41,96,59.0
790,5232.1,3029.7,58.41,99,58.5
795,5232.3,3029.7,58.41,33,60.0
800,5232.1,2880.0,58.41,30,59.0
805,5232.1,3029.7,58.41,99,59.0
810,5232.1,3029.7,58.41,99,59.0
815,5232.3,3029.7,58.41,4,59.0
820,5232.1,3029.7,58.41,88,59.0
825,5232.1,3029.7,58.41,99,59.0
830,5232.2,3029.7,58.41,99,59.0
835,5232.2,3029.7,58.41,1,59.0
840,5232.1,3029.7,58.41,98,59.0
845,5232.1,3029.7,58.41,99,59.0
850,5232.3,3029.7,58.41,13,60.0
855,5232.1,3029.7,58.41,70,59.0
860,5232.1,3029.7,58.41,99,59.0
865,5232.1,3029.7,58.41,99,60.0
870,5232.3,3029.7,58.41,2,60.0
875,5232.1,3029.7,58.41,96,59.0
880,5232.1,3029.7,58.41,99,59.0
885,5232.4,3029.7,58.41,32,60.0
890,5232.1,2880.0,58.41,25,60.0
895,5232.1,3029.7,58.41,99,59.0
900,5232.1,3029.7,58.41,99,59.0
