t_s,ctrl_rss_mib,work_rss_mib,gtt_gib,gpu_busy,degC
0,2771.1,3029.4,58.41,0,46.5
5,5066.8,3029.4,58.41,0,46.5
10,5066.6,3029.4,58.41,97,47.5
15,5066.6,3029.4,58.41,99,48.0
20,5223.2,3029.4,58.41,25,49.0
25,5223.0,2879.8,58.41,42,49.0
30,5223.0,3029.4,58.41,99,49.5
35,5223.0,3029.4,58.41,99,49.5
40,5223.8,3029.5,58.41,4,50.5
45,5223.6,3029.5,58.41,89,51.0
50,5223.6,3029.5,58.41,99,51.0
55,5224.4,3029.5,58.41,89,52.0
60,5224.4,3029.5,58.41,1,52.0
65,5224.3,3029.5,58.41,98,52.0
70,5224.3,3029.5,58.41,99,53.0
75,5225.1,3029.5,58.41,13,53.0
80,5224.9,3029.5,58.41,69,53.0
85,5224.9,3029.5,58.41,99,53.5
90,5224.9,3029.5,58.41,99,53.5
95,5225.8,3029.5,58.41,2,53.5
100,5225.6,3029.5,58.41,95,53.5
105,5225.6,3029.5,58.41,99,54.5
110,5226.4,3029.5,58.41,39,54.5
115,5226.2,2879.9,58.41,12,54.5
120,5226.2,3029.5,58.41,99,54.5
125,5226.2,3029.5,58.41,99,54.5
130,5227.1,3029.5,58.41,6,55.0
135,5226.8,3029.5,58.41,87,55.0
140,5226.8,3029.5,58.41,99,55.0
145,5226.8,3029.5,58.41,99,56.0
150,5227.7,3029.5,58.41,1,56.0
155,5227.5,3029.5,58.41,98,55.0
160,5227.5,3029.5,58.41,99,56.0
165,5228.4,3029.5,58.41,14,56.0
170,5228.1,3029.5,58.41,68,56.0
175,5228.1,3029.5,58.41,99,56.0
180,5228.1,3029.5,58.41,99,56.0
185,5229.0,3029.5,58.41,2,56.0
190,5228.8,3029.5,58.41,95,56.0
195,5228.8,3029.5,58.41,99,56.0
200,5229.7,3029.5,58.41,37,56.0
205,5229.4,3009.9,58.41,19,56.5
210,5229.4,3029.5,58.41,99,56.5
215,5229.4,3029.5,58.41,99,56.5
